strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
P39_CAND_0551:BB Expansion Short,1579438800000,2020-01-19 13:00:00+00:00,1579780800000,2020-01-23 12:00:00+00:00,Short,8641.4,8404.925338484236,8400.724975996238,8822.16801728271,8400.724975996238,0.567,134.08113307943802,4.83263323346028,2.466450000000206,2.3816055306949018,4.848055530695108,-11.598162458299198,140.84666230427692,10140.846662304275,TP Hit,1.3081664835983273,95,False,False,False,False,2020-01-23 12:00:00,2020-01,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.331402687386683,21.278851222454584,0.11771358419656636,1.1237949551176065
P39_CAND_0551:Funding Reversal Short,1579881600000,2020-01-24 16:00:00+00:00,1579910400000,2020-01-25 00:00:00+00:00,Short,8505.0,8379.074021095446,8374.886577806543,8643.533422193455,8374.886577806543,0.755,95.07411407293799,6.373737942963531,3.178549999999341,3.1615196831221604,6.340069683121501,-3.343669723402,92.04404585337646,10232.89070815765,TP Hit,0.9089934898793153,8,False,False,False,False,2020-01-25 00:00:00,2020-01,2020,NEW_YORK,False,P39_CAND_0551:Funding Reversal Short,0.9392204432209859,16.05747734948703,0.11591049362126865,0.785696610610034
P39_CAND_0551:Funding Reversal Short,1580202000000,2020-01-28 09:00:00+00:00,1580220000000,2020-01-28 14:00:00+00:00,Short,9000.2,9161.48001629687,9156.901565514114,9156.901565514114,8852.638434485887,0.673,-108.5414509677927,6.111405325483897,3.0621499999995105,3.0812973767945735,6.143447376794084,0.0,-114.6528562932766,10118.237851864375,SL Hit,-1.029217645450666,5,False,False,False,False,2020-01-28 14:00:00,2020-01,2020,LONDON,False,P39_CAND_0551:Funding Reversal Short,0.9416725674053573,12.254852702277981,0.07820504321109839,0.8254689370768308
P39_CAND_0551:Funding Reversal Short,1580288400000,2020-01-29 09:00:00+00:00,1580342400000,2020-01-30 00:00:00+00:00,Short,9390.3,9233.949198486407,9229.334531220797,9560.665468779203,9229.334531220797,0.611,95.5303397248048,5.689708130137597,2.8717000000004447,2.8195616992880024,5.691261699288447,-7.4858589348777,97.3264905295449,10215.56434239392,TP Hit,0.917737629778866,15,False,False,False,False,2020-01-30 00:00:00,2020-01,2020,LONDON,False,P39_CAND_0551:Funding Reversal Short,0.9448244995458324,18.866828764303744,0.11074326798440243,0.7635752884420641
P39_CAND_0551:Funding Reversal Short,1580418000000,2020-01-30 21:00:00+00:00,1580446800000,2020-01-31 05:00:00+00:00,Short,9579.8,9414.029637039175,9409.3249745519,9760.5350254481,9409.3249745519,0.582,96.4783512431996,5.5272044243784,2.781960000000381,2.7381135675938273,5.520073567594208,-2.9688352772693998,93.9199820960906,10309.484324490013,TP Hit,0.9172010934229576,8,False,False,False,False,2020-01-31 05:00:00,2020-01,2020,NEW_YORK,False,P39_CAND_0551:Funding Reversal Short,0.9432318114623097,14.016113269242009,0.07755061994481435,0.8099833235846219
P39_CAND_0551:BB Expansion Long,1580929200000,2020-02-05 19:00:00+00:00,1580947200000,2020-02-06 00:00:00+00:00,Long,9700.8,9559.46513313769,9564.247256766072,9564.247256766072,9842.391936926586,0.782,-110.52386588632592,7.530763667056837,3.753599999999431,3.7396206773944654,7.4932206773938965,12.3518638386,-130.40649339198276,10179.077831098031,SL Hit,-1.0350203409695655,5,False,False,False,False,2020-02-06 00:00:00,2020-02,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.0369029107238537,27.375848183050735,0.2004782001058253,0.7805369259337958
P39_CAND_0551:Funding Reversal Short,1580979600000,2020-02-06 09:00:00+00:00,1580990400000,2020-02-06 12:00:00+00:00,Short,9647.6,9799.8684597009,9794.970974213793,9794.970974213793,9509.809025786206,0.714,-108.71968022644207,6.942746240113221,3.412919999999169,3.496804637794168,6.909724637793337,0.0,-115.66242646655529,10063.415404631474,SL Hit,-1.033232361482539,3,False,False,False,False,2020-02-06 12:00:00,2020-02,2020,LONDON,False,P39_CAND_0551:Funding Reversal Short,0.9349939833735488,13.852470877906558,0.09399728102367456,0.8033451303992146
P39_CAND_0551:Funding Reversal Short,1581012000000,2020-02-06 18:00:00+00:00,1581206400000,2020-02-09 00:00:00+00:00,Short,9776.7,9961.947337753887,9956.968853327224,9956.968853327224,9606.291146672775,0.574,-106.33197187073074,5.664991785935365,2.8298199999991227,2.8576500609047177,5.68747006090384,-18.0404207567682,-93.9565428998979,9969.458861731577,SL Hit,-1.0276169972503588,54,False,False,False,False,2020-02-09 00:00:00,2020-02,2020,NEW_YORK,False,P39_CAND_0551:Funding Reversal Short,0.945303917909218,29.392882603607404,0.16305025555498268,0.6612442392420008
P39_CAND_0551:BB Expansion Short,1583686800000,2020-03-08 17:00:00+00:00,1583708400000,2020-03-08 23:00:00+00:00,Short,8282.2,8059.64991712362,8055.622106070585,8451.87208362918,8055.622106070585,0.601,133.75259980870476,4.910725900095648,2.518189999999213,2.4207144428742113,4.938904442873424,0.0,128.84187390860913,10098.300735640185,TP Hit,1.3116481987854147,6,False,False,False,False,2020-03-08 23:00:00,2020-03,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.3353869952148743,9.849630342969071,0.05805097769940519,1.2387963501243497
P39_CAND_0551:BB Expansion Short,1584003600000,2020-03-12 09:00:00+00:00,1584007200000,2020-03-12 10:00:00+00:00,Short,7379.2,7087.874364285765,7084.332198186672,7598.144017305597,7084.332198186672,0.47,136.9230487856902,3.3997624756071545,1.7155000000002565,1.6648180665738346,3.380318066574091,0.0,133.52328631008305,10231.824021950268,TP Hit,1.3305941824736345,1,False,False,False,False,2020-03-12 10:00:00,2020-03,2020,LONDON,False,P39_CAND_0551:BB Expansion Short,1.3467725925653302,6.780080542181246,0.030967187985400654,1.2808849585538395
