strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
P39_CAND_0551:BB Expansion Long,1579010400000,2020-01-14 14:00:00+00:00,1579017600000,2020-01-14 16:00:00+00:00,Long,154.2,157.84324635056265,157.92220745428978,151.34801063291135,157.92220745428978,36.337,132.3846426403955,5.669357721320198,2.543589999999752,2.8692096261325153,5.4127996261322675,0.5671478960000002,126.1481370230753,10126.148137023076,TP Hit,1.2774403693803944,2,False,False,False,False,2020-01-14 16:00:00,2020-01,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.3051266941045743,11.649305243452465,4.08462436006355,1.1927171842368485
P39_CAND_0551:BB Expansion Long,1579251600000,2020-01-17 09:00:00+00:00,1579269600000,2020-01-17 14:00:00+00:00,Long,171.9,166.60914618081762,166.6924924270311,166.6924924270311,178.89376051801236,19.826,-104.89646781911003,3.3556411660904453,2.57737999999991,1.6524226774287445,4.229802677428655,0.0,-108.25210898520046,10017.896028037876,SL Hit,-1.0160050168042247,5,False,False,False,False,2020-01-17 14:00:00,2020-01,2020,LONDON,False,P39_CAND_0551:BB Expansion Long,1.3430149490930232,7.5854438435191,1.456636161777966,1.2695439432533195
P39_CAND_0551:BB Expansion Short,1579438800000,2020-01-19 13:00:00+00:00,1579676400000,2020-01-22 07:00:00+00:00,Short,165.5,171.00090521060667,170.91544748686326,170.91544748686326,158.0024340460232,18.533,-101.94827626817352,3.1181856381340873,0.7413199999998525,1.583787994136749,2.3251079941366015,-7.3080929946211,-97.7583689116865,9920.137659126189,SL Hit,-1.015780362370925,66,False,False,False,False,2020-01-22 07:00:00,2020-01,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.3844776395975245,12.75138662689179,2.3546321255674596,1.2574268585276782
P39_CAND_0551:Funding Reversal Short,1580295600000,2020-01-29 11:00:00+00:00,1580338800000,2020-01-29 23:00:00+00:00,Short,177.9,174.45623581964452,174.36905129399753,181.63094870600247,174.36905129399753,27.321,94.08708117149226,4.8133623594142545,2.732099999999845,2.381968425201404,5.114068425201249,-5.084409549555001,94.35812836163302,10014.495787487824,TP Hit,0.9230264074161761,12,False,False,False,False,2020-01-29 23:00:00,2020-01,2020,LONDON,False,P39_CAND_0551:Funding Reversal Short,0.9463943313725481,15.011840334170504,4.023598692209033,0.799123049493809
P39_CAND_0551:Funding Reversal Short,1580407200000,2020-01-30 18:00:00+00:00,1580414400000,2020-01-30 20:00:00+00:00,Short,179.7,184.051910792555,183.95993082714142,183.95993082714142,175.66006917285858,24.132,-105.02031124593734,4.389030555622969,2.6545200000003293,2.2196605253603092,4.8741805253606385,0.0,-109.40934180156032,9905.086445686264,SL Hit,-1.0215918917808562,2,False,False,False,False,2020-01-30 20:00:00,2020-01,2020,NEW_YORK,False,P39_CAND_0551:Funding Reversal Short,0.948355968928337,9.263211080983607,2.174498004043779,0.8582474821040464
P39_CAND_0551:BB Expansion Long,1580418000000,2020-01-30 21:00:00+00:00,1580464800000,2020-01-31 10:00:00+00:00,Long,185.1,180.94022070175131,181.0307360697862,181.0307360697862,189.34695992245977,25.145,-104.59765045446304,4.602040674772768,3.2688499999998855,2.276008929237209,5.544858929237094,9.9090723582135,-119.1087634874493,9785.977682198813,SL Hit,-1.0222436709899352,13,False,False,False,False,2020-01-31 10:00:00,2020-01,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.0436678463951712,20.05597196222336,4.928648597430653,0.8476587552267221
P39_CAND_0551:ATR Expansion Short,1580475600000,2020-01-31 13:00:00+00:00,1580508000000,2020-01-31 22:00:00+00:00,Short,178.1,182.74103349391422,182.64970863959442,182.64970863959442,171.60043704060834,22.142,-102.7617636222487,3.994871081811124,2.878459999999899,2.022114924348873,4.900574924348772,-3.7402550260439997,-103.01637967801582,9682.961302520796,SL Hit,-1.020072681913085,9,False,False,False,False,2020-01-31 22:00:00,2020-01,2020,NEW_YORK,False,P39_CAND_0551:ATR Expansion Short,1.4285668543318062,12.635701032203897,2.7772549921636904,1.3031375800041172
P39_CAND_0551:BB Expansion Long,1580644800000,2020-02-02 12:00:00+00:00,1580688000000,2020-02-03 00:00:00+00:00,Long,191.9,188.0511715361745,188.14524415825363,188.14524415825363,196.89993866909217,26.422,-101.69374567119732,5.019534927164401,2.1137600000003305,2.485586820574636,4.599346820574967,1.00747086,-107.72075145836172,9575.240551062434,SL Hit,-1.0250542581313014,12,False,False,False,False,2020-02-03 00:00:00,2020-02,2020,LONDON,False,P39_CAND_0551:BB Expansion Long,1.331628174993834,10.626352607739369,2.830104820556574,1.2245164945549354
P39_CAND_0551:BB Expansion Long,1580911200000,2020-02-05 14:00:00+00:00,1580925600000,2020-02-05 18:00:00+00:00,Long,198.0,202.7465981016548,202.84802211271113,194.25142407884798,202.84802211271113,13.304,63.148741144415425,2.665766370572208,1.8625599999998186,1.349345043093518,3.2119050430933367,2.53129726752,57.951677506323215,9633.192228568756,TP Hit,1.2662403540691947,4,False,False,False,False,2020-02-05 18:00:00,2020-02,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.2932970319089134,8.408968681185545,2.2432435298259272,1.1246828158967421
P39_CAND_0551:Funding Reversal Short,1580932800000,2020-02-05 20:00:00+00:00,1580936400000,2020-02-05 21:00:00+00:00,Short,202.2,206.88820242420152,206.78481001919195,206.78481001919195,197.85518998080803,21.576,-101.15265550457232,4.413243527752286,2.589120000000098,2.230794530486526,4.819914530486624,0.0,-105.56589903232461,9527.626329536432,SL Hit,-1.0225510772696738,1,False,False,False,False,2020-02-05 21:00:00,2020-02,2020,NEW_YORK,False,P39_CAND_0551:Funding Reversal Short,0.9476532290334012,9.23315805823891,2.0138583757209165,0.8543153362024355
