strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
P39_CAND_0551:BB Expansion Short,1601632800000,2020-10-02 10:00:00+00:00,1601647200000,2020-10-02 14:00:00+00:00,Short,2.5,2.62660316679722,2.625290521536452,2.625290521536452,2.3656409423104834,920.043,-116.48035738961453,2.358347678694807,15.272713799999952,1.2076900836526887,16.48040388365264,0.0,-118.83870506830932,9881.16129493169,SL Hit,-1.0104768121695942,4,False,False,False,False,2020-10-02 14:00:00,2020-10,2020,LONDON,False,P39_CAND_0551:BB Expansion Short,1.0723800654818592,18.838751562347447,150.36054867779058,0.9089523249547419
P39_CAND_0551:BB Expansion Short,1601989200000,2020-10-06 13:00:00+00:00,1602010800000,2020-10-06 19:00:00+00:00,Short,2.4,2.30215565791549,2.3010051553378212,2.4834882881567686,2.3010051553378212,1293.544,126.56596163736525,3.041222619181317,8.796099200000182,1.4882257063280095,10.284324906328191,-0.31522373736000003,123.83996275554392,10005.001257687232,TP Hit,1.1719529079430202,6,False,False,False,False,2020-10-06 19:00:00,2020-10,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,1.1857333147889297,13.640771262869508,163.38544679770877,1.0594249350216325
P39_CAND_0551:ATR Expansion Long,1602165600000,2020-10-08 14:00:00+00:00,1602230400000,2020-10-09 08:00:00+00:00,Long,2.3,2.5140751556703234,2.5153328220813638,2.1777781186124243,2.5153328220813638,740.991,158.6277636753087,1.7835931818376545,10.892567700000281,0.9319194915832478,11.824487191583529,0.53443234884,156.30973814463104,10161.310995831866,TP Hit,1.751528885334974,18,False,False,False,False,2020-10-09 08:00:00,2020-10,2020,NEW_YORK,False,P39_CAND_0551:ATR Expansion Long,1.7618189119387395,14.142512722261182,115.71179040694135,1.605660752923392
P39_CAND_0551:BB Expansion Long,1602234000000,2020-10-09 09:00:00+00:00,1602370800000,2020-10-10 23:00:00+00:00,Long,2.5,2.417036905838526,2.4182460288529524,2.4182460288529524,2.6892749599264545,895.633,-74.30448491312352,2.201930257543438,28.122876200000086,1.0829304727797946,29.20580667277988,1.7653728343962882,-78.27178800506324,10083.039207826801,SL Hit,-1.014789777150417,38,False,False,False,False,2020-10-10 23:00:00,2020-10,2020,LONDON,False,P39_CAND_0551:BB Expansion Long,2.3151775659437157,33.173109764719605,405.7675645511145,1.8621264115633895
P39_CAND_0551:BB Expansion Long,1602536400000,2020-10-12 21:00:00+00:00,1602540000000,2020-10-12 22:00:00+00:00,Long,2.7,2.601409529768771,2.6027108852113763,2.6027108852113763,2.8047848816508663,1192.002,-117.52003769656572,3.159645381151717,14.542424399999986,1.5512182902964569,16.09364269029644,0.0,-120.67968307771744,9962.359524749085,SL Hit,-1.013376166957966,1,False,False,False,False,2020-10-12 22:00:00,2020-10,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Long,1.0770463055248054,19.253288071448157,197.89765908836762,0.9110250580031002
P39_CAND_0551:BB Expansion Short,1602612000000,2020-10-13 18:00:00+00:00,1602633600000,2020-10-14 00:00:00+00:00,Short,2.3,2.446350494913381,2.4451279309479075,2.4451279309479075,2.2133389847945732,1026.752,-150.26566335330415,2.436662431676652,49.28409600000004,1.2552699966780634,50.53936599667811,-0.434559013202176,-152.2677667717786,9810.091757977307,SL Hit,-1.0084240432388756,6,False,False,False,False,2020-10-14 00:00:00,2020-10,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,0.5971353318372102,53.410587441556935,368.02417765280603,0.23870001576009908
P39_CAND_0551:BB Expansion Short,1602691200000,2020-10-14 16:00:00+00:00,1602820800000,2020-10-16 04:00:00+00:00,Short,2.3,2.152493086821696,2.1514173781326296,2.3452314877445066,2.1514173781326296,1209.16,178.3594591386781,2.691888270430661,43.40884399999979,1.3007039184713554,44.709547918471145,-1.3849476808,177.05251854904742,9987.144276526355,TP Hit,3.261155459035684,36,False,False,False,False,2020-10-16 04:00:00,2020-10,2020,NEW_YORK,False,P39_CAND_0551:BB Expansion Short,3.2849377563402182,48.78638386970181,1078.5933937277298,2.3929190047045954
P39_CAND_0551:BB Expansion Short,1603184400000,2020-10-20 09:00:00+00:00,1603191600000,2020-10-20 11:00:00+00:00,Short,2.0,1.8903109016708521,1.8893662185615714,2.0220363226356683,1.8893662185615714,1798.309,197.25489272719156,3.497990553636404,62.221491399999934,1.6988321375675612,63.9203235375675,0.0,193.75690217355518,10180.901178699909,TP Hit,4.977649862123697,2,False,False,False,False,2020-10-20 11:00:00,2020-10,2020,LONDON,False,P39_CAND_0551:BB Expansion Short,5.020519224898032,67.4183140912039,3059.417635412522,3.319244507698417
P39_CAND_0551:BB Expansion Short,1603317600000,2020-10-21 22:00:00+00:00,1603339200000,2020-10-22 04:00:00+00:00,Short,1.9,1.9570126711823048,1.9560346538553772,1.9560346538553772,1.7538518696453094,1202.923,-68.58185345663176,2.3198446267283157,34.8847669999999,1.1764795369597218,36.06124653695962,-0.815024044315974,-70.08667403904411,10110.814504660864,SL Hit,-1.0174537943868058,6,False,False,False,False,2020-10-22 04:00:00,2020-10,2020,OFF_HOURS,False,P39_CAND_0551:BB Expansion Short,2.6081740547892323,39.19611520800392,699.4977663138094,2.0266756826458705
P39_CAND_0551:BB Expansion Long,1603368000000,2020-10-22 12:00:00+00:00,1603400400000,2020-10-22 21:00:00+00:00,Long,2.1,1.9925868732301497,1.993583665062681,1.993583665062681,2.177806020746276,1311.112,-140.83063946547207,2.6829198802672645,37.23558079999998,1.306905733133802,38.54248653313378,0.26902707128,-143.78258641701933,9967.031918243847,SL Hit,-1.0093669062472264,9,False,False,False,False,2020-10-22 21:00:00,2020-10,2020,LONDON,False,P39_CAND_0551:BB Expansion Long,0.7311473449269332,41.494433484681046,389.9254142620298,0.43374680686303807
