symbol,timeframe,status,rows,path,sha256
BTCUSDT,funding,SUCCESS,7120,data/raw/BTCUSDT_funding_raw.csv,7531e3bbb72b4b432ab40ff822e1397538b846badc7d4d5b3773bb09e2f5a04a
BTCUSDT,1h,SUCCESS,56953,data/raw/BTCUSDT_1h_raw.csv,3e2cb3576d91c440fef0ade7f435ef2a7219db15a78f3e37d2899e88887c8323
BTCUSDT,5m,SUCCESS,683425,data/raw/BTCUSDT_5m_raw.csv,18250632a45434bddbaa73e87719714ce145722940ca19c2dbc0dc4ee2f97245
ETHUSDT,funding,SUCCESS,7120,data/raw/ETHUSDT_funding_raw.csv,b00820031a784b5eb6abf50493bcb865a0e574e3cc80adf728a5c1b61a6e63e8
ETHUSDT,1h,SUCCESS,56953,data/raw/ETHUSDT_1h_raw.csv,ef71f0bde5ecf15eb03ca9693ac9059051cadb2212fd0c0d054ef4f0a92c04e3
ETHUSDT,5m,SUCCESS,52129,data/raw/ETHUSDT_5m_raw.csv,9c1ae3a03b06dc6a7770c3b4c58e5b1c234517dccfa22bd5b42e4e5fa093673e
BNBUSDT,funding,SUCCESS,6999,data/raw/BNBUSDT_funding_raw.csv,138ee68f8f054ff0b6e4d6ece2c7c4091ee4f821ca86b8346f807624b0efa6c8
BNBUSDT,1h,SUCCESS,55985,data/raw/BNBUSDT_1h_raw.csv,734aa2fe8e640cd7e4b9f11a583f11ab24a3a66ed555e0a2f02c301d1bdf9c64
BNBUSDT,5m,SUCCESS,52129,data/raw/BNBUSDT_5m_raw.csv,329d641b2ee3f93850bcdfc6ceafe3d84ed6e5bbd388f73da3d4ef12ced6c7c2
SOLUSDT,funding,SUCCESS,6425,data/raw/SOLUSDT_funding_raw.csv,1040a5c4b21327e72b2797bea6655e1ef8e72d5e22a7caef781dd0af5a237a37
SOLUSDT,1h,SUCCESS,50778,data/raw/SOLUSDT_1h_raw.csv,56c2831cd32af74043a6dede5999b79fe7d64de8dd59c40c8d53bba5a55850fb
SOLUSDT,5m,SUCCESS,52129,data/raw/SOLUSDT_5m_raw.csv,74dea08898fa58243ab78baa38d694c85a1e7d7763e7851a610bcab7a8f8246b
