symbol,file_type,path,exists,earliest_timestamp,latest_timestamp,row_count,missing_candles,duplicate_rows,timezone,sha256,usable
BTCUSDT,raw_1h,data/raw/BTCUSDT_1h_raw.csv,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,56953,0,0,UTC,3e2cb3576d91c440fef0ade7f435ef2a7219db15a78f3e37d2899e88887c8323,True
BTCUSDT,raw_5m,data/raw/BTCUSDT_5m_raw.csv,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,683425,0,0,UTC,18250632a45434bddbaa73e87719714ce145722940ca19c2dbc0dc4ee2f97245,True
BTCUSDT,raw_funding,data/raw/BTCUSDT_funding_raw.csv,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,7120,0,0,UTC,7531e3bbb72b4b432ab40ff822e1397538b846badc7d4d5b3773bb09e2f5a04a,True
BTCUSDT,processed_1h,data/processed/BTCUSDT_1h_processed.csv,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,56953,0,0,UTC,7862e2a9719b73afb9e0bca33ad73b91db943a2ad3edc01e6af1314610ff39fc,True
BTCUSDT,processed_5m,data/processed/BTCUSDT_5m_processed.csv,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,683425,0,0,UTC,baaf3f447bd86c0fa6af7c3302dbc5d901332650be15514a2df0b67cad6ae671,True
ETHUSDT,raw_1h,data/raw/ETHUSDT_1h_raw.csv,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,56953,0,0,UTC,ef71f0bde5ecf15eb03ca9693ac9059051cadb2212fd0c0d054ef4f0a92c04e3,True
ETHUSDT,raw_5m,data/raw/ETHUSDT_5m_raw.csv,True,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,52129,0,0,UTC,9c1ae3a03b06dc6a7770c3b4c58e5b1c234517dccfa22bd5b42e4e5fa093673e,True
ETHUSDT,raw_funding,data/raw/ETHUSDT_funding_raw.csv,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,7120,0,0,UTC,b00820031a784b5eb6abf50493bcb865a0e574e3cc80adf728a5c1b61a6e63e8,True
ETHUSDT,processed_1h,data/processed/ETHUSDT_1h_processed.csv,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,56953,0,0,UTC,ea3529b3549a2a03bbe23daa326e2cd70902172a7be8b7ca683ad59434f674ff,True
ETHUSDT,processed_5m,data/processed/ETHUSDT_5m_processed.csv,True,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,52129,0,0,UTC,754ff53b7fb7f7174c56aa712552dc30af31e2e657cb0a0793518c0b55534b06,True
BNBUSDT,raw_1h,data/raw/BNBUSDT_1h_raw.csv,True,2020-02-10T08:00:00+00:00,2026-07-01T00:00:00+00:00,55985,0,0,UTC,734aa2fe8e640cd7e4b9f11a583f11ab24a3a66ed555e0a2f02c301d1bdf9c64,True
BNBUSDT,raw_5m,data/raw/BNBUSDT_5m_raw.csv,True,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,52129,0,0,UTC,329d641b2ee3f93850bcdfc6ceafe3d84ed6e5bbd388f73da3d4ef12ced6c7c2,True
BNBUSDT,raw_funding,data/raw/BNBUSDT_funding_raw.csv,True,2020-02-10T08:00:00+00:00,2026-07-01T00:00:00+00:00,6999,0,0,UTC,138ee68f8f054ff0b6e4d6ece2c7c4091ee4f821ca86b8346f807624b0efa6c8,True
BNBUSDT,processed_1h,data/processed/BNBUSDT_1h_processed.csv,True,2020-02-10T08:00:00+00:00,2026-07-01T00:00:00+00:00,55985,0,0,UTC,dc1d2861426eea0555f5bd8b10b7c1d7fe3e0fa82123151380b89c72a193df2e,True
BNBUSDT,processed_5m,data/processed/BNBUSDT_5m_processed.csv,True,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,52129,0,0,UTC,d95aef3f03465616e80e6c807c126dff667b4f817e5c64fdb6030672f771f6cb,True
SOLUSDT,raw_1h,data/raw/SOLUSDT_1h_raw.csv,True,2020-09-14T07:00:00+00:00,2026-07-01T00:00:00+00:00,50778,0,0,UTC,56c2831cd32af74043a6dede5999b79fe7d64de8dd59c40c8d53bba5a55850fb,True
SOLUSDT,raw_5m,data/raw/SOLUSDT_5m_raw.csv,True,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,52129,0,0,UTC,74dea08898fa58243ab78baa38d694c85a1e7d7763e7851a610bcab7a8f8246b,True
SOLUSDT,raw_funding,data/raw/SOLUSDT_funding_raw.csv,True,2020-09-13T16:00:00.004000+00:00,2026-07-01T00:00:00+00:00,6425,0,0,UTC,1040a5c4b21327e72b2797bea6655e1ef8e72d5e22a7caef781dd0af5a237a37,True
SOLUSDT,processed_1h,data/processed/SOLUSDT_1h_processed.csv,True,2020-09-14T07:00:00+00:00,2026-07-01T00:00:00+00:00,50778,0,0,UTC,8d62ffb82137f1dee46a944ce459be97e1f169d02d6984dfc37f2cc3ea5d076a,True
SOLUSDT,processed_5m,data/processed/SOLUSDT_5m_processed.csv,True,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,52129,0,0,UTC,c28449a0b8f0190c53d6de69cba0fb14861343cb864e99ef9f36cda7c898ac05,True
