asset,month,net_pnl,trades,winners,losers,win_rate,gross_profit,gross_loss,profit_factor,best_trade,worst_trade,dominant_sleeve,dominant_session,status
BTCUSDT,2020-01,309.48,5,4,1,0.8,424.14,114.65,3.6993,140.85,-114.65,P39_CAND_0551:Funding Reversal Short,NEW_YORK,positive
BTCUSDT,2020-02,-340.03,3,0,3,0.0,0.0,340.03,0.0,-93.96,-130.41,P39_CAND_0551:Funding Reversal Short,NEW_YORK,negative
BTCUSDT,2020-03,259.17,4,3,1,0.75,365.68,106.51,3.4333,133.52,-106.51,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
BTCUSDT,2020-04,402.85,7,5,2,0.7143,624.61,221.76,2.8166,136.27,-112.58,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
BTCUSDT,2020-05,-25.56,2,1,1,0.5,96.53,122.08,0.7907,96.53,-122.08,P39_CAND_0551:Funding Reversal Short,NEW_YORK,negative
BTCUSDT,2020-06,44.19,4,2,2,0.5,268.5,224.31,1.197,174.51,-112.73,P39_CAND_0551:Funding Reversal Short,NEW_YORK,positive
BTCUSDT,2020-07,-214.93,4,1,3,0.25,106.66,321.58,0.3317,106.66,-116.37,P39_CAND_0551:Funding Reversal Short,NEW_YORK,negative
BTCUSDT,2020-08,-185.31,4,1,3,0.25,46.49,231.81,0.2006,46.49,-118.41,P39_CAND_0551:Funding Reversal Short,NEW_YORK,negative
BTCUSDT,2020-09,202.64,2,2,0,1.0,202.64,0.0,9999.0,133.91,68.73,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
BTCUSDT,2020-10,16.26,2,1,1,0.5,133.09,116.83,1.1391,133.09,-116.83,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
BTCUSDT,2020-11,4.31,10,5,5,0.5,570.84,566.53,1.0076,134.28,-119.99,P39_CAND_0551:Funding Reversal Short,NEW_YORK,positive
BTCUSDT,2020-12,-162.51,2,0,2,0.0,0.0,162.51,0.0,-55.0,-107.51,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
BTCUSDT,2021-01,374.98,16,10,6,0.625,1040.59,665.6,1.5634,140.29,-113.22,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
BTCUSDT,2021-02,262.89,14,8,6,0.5714,970.23,707.34,1.3717,154.04,-129.72,P39_CAND_0551:Funding Reversal Short,LONDON,positive
BTCUSDT,2021-03,394.74,11,7,4,0.6364,857.64,462.9,1.8527,148.46,-116.82,P39_CAND_0551:Funding Reversal Short,NEW_YORK,positive
BTCUSDT,2021-04,451.93,5,4,1,0.8,565.51,113.58,4.979,197.84,-113.58,P39_CAND_0551:Funding Reversal Short,LONDON,positive
BTCUSDT,2021-05,532.13,11,7,4,0.6364,1028.09,495.96,2.0729,165.98,-125.08,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
BTCUSDT,2021-06,-32.58,7,3,4,0.4286,494.47,527.05,0.9382,166.42,-136.94,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
BTCUSDT,2021-07,321.9,2,2,0,1.0,321.9,0.0,9999.0,161.7,160.19,P39_CAND_0551:BB Expansion Long,LONDON,positive
BTCUSDT,2021-08,458.93,5,4,1,0.8,599.12,140.19,4.2735,163.6,-140.19,P39_CAND_0551:BB Expansion Long,LONDON,positive
BTCUSDT,2021-09,-46.96,6,3,3,0.5,380.62,427.58,0.8902,170.79,-145.71,P39_CAND_0551:Funding Reversal Short,LONDON,negative
BTCUSDT,2021-10,724.25,12,8,4,0.6667,1327.69,603.44,2.2002,226.95,-161.54,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
BTCUSDT,2021-11,287.01,10,6,4,0.6,803.32,516.31,1.5559,197.91,-152.53,P39_CAND_0551:Funding Reversal Short,LONDON,positive
BTCUSDT,2021-12,-133.84,3,1,2,0.3333,182.27,316.1,0.5766,182.27,-163.48,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
BTCUSDT,2022-01,422.78,4,3,1,0.75,574.95,152.17,3.7785,203.25,-152.17,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
BTCUSDT,2022-02,551.05,10,6,4,0.6,1183.6,632.55,1.8711,239.03,-160.65,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
BTCUSDT,2022-03,196.15,1,1,0,1.0,196.15,0.0,9999.0,196.15,196.15,P39_CAND_0551:BB Expansion Short,OFF_HOURS,positive
BTCUSDT,2022-04,-450.72,5,1,4,0.2,207.03,657.75,0.3148,207.03,-166.13,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
BTCUSDT,2022-05,183.88,5,3,2,0.6,495.93,312.05,1.5893,194.96,-156.49,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
BTCUSDT,2022-06,359.75,7,4,3,0.5714,835.84,476.09,1.7556,253.49,-163.04,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
BTCUSDT,2022-07,368.92,6,4,2,0.6667,701.6,332.67,2.109,198.3,-169.15,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
BTCUSDT,2022-08,24.89,2,1,1,0.5,198.84,173.95,1.1431,198.84,-173.95,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
BTCUSDT,2022-09,-77.31,5,2,3,0.4,428.4,505.71,0.8471,220.85,-171.78,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
BTCUSDT,2022-10,218.0,1,1,0,1.0,218.0,0.0,9999.0,218.0,218.0,P39_CAND_0551:ATR Expansion Long,NEW_YORK,positive
BTCUSDT,2022-11,415.79,4,3,1,0.75,579.76,163.98,3.5356,214.75,-163.98,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
BTCUSDT,2022-12,272.23,1,1,0,1.0,272.23,0.0,9999.0,272.23,272.23,P39_CAND_0551:Low-Activity Filler Short,NEW_YORK,positive
