symbol,scenario,net_pnl,profit_factor,max_dd_pct,trades,verdict
BTCUSDT,normal,11431.41,1.4998,7.938,340,PASS
BTCUSDT,double fees,9293.9,1.3907,9.3951,340,PASS
BTCUSDT,triple fees,7156.39,1.2897,11.6485,340,PASS
BTCUSDT,double slippage,10362.65,1.4442,8.5978,340,PASS
BTCUSDT,triple slippage,9293.9,1.3907,9.3951,340,PASS
BTCUSDT,double fees + double slippage,8225.15,1.3392,10.257,340,PASS
BTCUSDT,delay 1 candle,10362.65,1.4442,8.5978,340,PASS
BTCUSDT,delay 2 candles,9293.9,1.3907,9.3951,340,PASS
BTCUSDT,missed fills 10%,8144.39,1.377,10.881,306,PASS
BTCUSDT,missed fills 20%,7264.04,1.3789,11.072,272,PASS
BTCUSDT,missed fills 30%,6786.22,1.4091,9.3195,238,PASS
BTCUSDT,stale cancel,11877.11,1.5581,7.7268,323,PASS
BTCUSDT,partial fill,10574.05,1.4998,7.6014,340,PASS
BTCUSDT,high funding,9922.14,1.4228,9.119,340,PASS
BTCUSDT,combined adverse,4323.12,1.1853,14.7223,306,PASS
ETHUSDT,normal,-2015.14,0.9119,24.8048,481,FAIL
ETHUSDT,double fees,-3450.91,0.8542,35.2892,481,FAIL
ETHUSDT,triple fees,-4886.69,0.8002,49.4479,481,FAIL
ETHUSDT,double slippage,-2733.02,0.8826,29.4793,481,FAIL
ETHUSDT,triple slippage,-3450.91,0.8542,35.2892,481,FAIL
ETHUSDT,double fees + double slippage,-4168.8,0.8268,42.3666,481,FAIL
ETHUSDT,delay 1 candle,-2733.02,0.8826,29.4793,481,FAIL
ETHUSDT,delay 2 candles,-3450.91,0.8542,35.2892,481,FAIL
ETHUSDT,missed fills 10%,-1389.33,0.9319,18.307,433,FAIL
ETHUSDT,missed fills 20%,-179.21,0.9898,16.5761,385,FAIL
ETHUSDT,missed fills 30%,-893.71,0.9433,19.3756,337,FAIL
ETHUSDT,stale cancel,-1392.52,0.935,17.6491,457,FAIL
ETHUSDT,partial fill,-1864.0,0.9119,22.9659,481,FAIL
ETHUSDT,high funding,-2818.37,0.8793,31.5754,481,FAIL
ETHUSDT,combined adverse,-3974.33,0.8179,39.0418,433,FAIL
BNBUSDT,normal,-2728.47,0.8472,32.0535,422,FAIL
BNBUSDT,double fees,-3823.62,0.7927,42.2663,422,FAIL
BNBUSDT,triple fees,-4918.77,0.7417,52.486,422,FAIL
BNBUSDT,double slippage,-3276.05,0.8195,37.159,422,FAIL
BNBUSDT,triple slippage,-3823.62,0.7927,42.2663,422,FAIL
BNBUSDT,double fees + double slippage,-4371.2,0.7668,47.3753,422,FAIL
BNBUSDT,delay 1 candle,-3276.05,0.8195,37.159,422,FAIL
BNBUSDT,delay 2 candles,-3823.62,0.7927,42.2663,422,FAIL
BNBUSDT,missed fills 10%,-2459.29,0.8461,26.6263,380,FAIL
BNBUSDT,missed fills 20%,-3522.82,0.7639,34.889,338,FAIL
BNBUSDT,missed fills 30%,-3007.58,0.7706,29.3922,296,FAIL
BNBUSDT,stale cancel,-2633.35,0.845,30.5488,401,FAIL
BNBUSDT,partial fill,-2523.84,0.8472,29.6788,422,FAIL
BNBUSDT,high funding,-3622.99,0.8018,40.8519,422,FAIL
BNBUSDT,combined adverse,-4422.32,0.7407,45.0569,380,FAIL
SOLUSDT,normal,-3827.16,0.8366,44.4828,518,FAIL
SOLUSDT,double fees,-4892.91,0.7964,52.7164,518,FAIL
SOLUSDT,triple fees,-5958.66,0.7583,62.1354,518,FAIL
SOLUSDT,double slippage,-4360.04,0.8162,48.3999,518,FAIL
SOLUSDT,triple slippage,-4892.91,0.7964,52.7164,518,FAIL
SOLUSDT,double fees + double slippage,-5425.79,0.7771,57.3979,518,FAIL
SOLUSDT,delay 1 candle,-4360.04,0.8162,48.3999,518,FAIL
SOLUSDT,delay 2 candles,-4892.91,0.7964,52.7164,518,FAIL
SOLUSDT,missed fills 10%,-3293.26,0.8424,40.7098,467,FAIL
SOLUSDT,missed fills 20%,-4035.76,0.7893,43.0773,415,FAIL
SOLUSDT,missed fills 30%,-2857.57,0.8283,33.4559,363,FAIL
SOLUSDT,stale cancel,-3500.84,0.8424,41.2707,493,FAIL
SOLUSDT,partial fill,-3540.13,0.8366,41.4105,518,FAIL
SOLUSDT,high funding,-4384.75,0.8151,48.4308,518,FAIL
SOLUSDT,combined adverse,-5196.09,0.7639,56.0432,467,FAIL
