asset,strategy,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,gross_pnl,fees,slippage,funding,net_pnl,capital_after,reason,hold_candles
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1582650000000,1582682400000,20.2,19.39844562285052,20.796139101996626,19.388751247226907,169.739,136.055,3.3607,2.6639,-0.5395,133.2339,10133.2339,TP Hit,9
BNBUSDT,P39_CAND_0551:BB Expansion Long,Long,1582812000000,1582880400000,19.3,18.549075077513407,18.558354254640726,20.234507979665665,144.421,-108.4493,2.7331,7.4058,0.0,-111.1824,10022.0514,SL Hit,19
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1582884000000,1582894800000,18.3,18.93771320784912,18.92824908330747,17.367709606517398,153.419,-97.8373,2.8565,5.4409,0.0,-100.6938,9921.3576,SL Hit,3
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1583683200000,1583683200000,18.4,17.632556958376107,18.9296635382001,17.623745085833193,181.489,139.2825,3.2698,2.6882,-1.6753,137.688,10059.0456,TP Hit,0
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1583766000000,1583834400000,16.2,17.017357435007778,17.00885300850353,15.055093043745098,122.993,-100.5292,2.0428,1.046,0.0,-102.572,9956.4736,SL Hit,19
BNBUSDT,P39_CAND_0551:BB Expansion Long,Long,1583838000000,1583852400000,17.1,16.484168154369133,16.49241436154991,17.979702275625122,159.921,-98.4844,2.6854,4.6771,0.0,-101.1699,9855.3037,SL Hit,4
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1584003600000,1584007200000,14.4,13.584624918832317,15.076238079401032,13.577836000831901,157.122,128.1134,2.1985,7.3516,0.0,125.9149,9981.2186,TP Hit,1
BNBUSDT,P39_CAND_0551:Funding Reversal Long,Long,1584126000000,1584633600000,9.4,11.492156748653539,7.358094298495711,11.49790570150429,48.221,100.8859,0.5037,0.8559,0.4576,99.9245,10081.1432,TP Hit,141
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1584738000000,1584741600000,11.1,12.075028628753747,12.068994131687903,9.804341483766802,106.342,-103.6865,1.2322,2.8749,0.0,-104.9187,9976.2244,SL Hit,1
BNBUSDT,P39_CAND_0551:BB Expansion Long,Long,1585998000000,1585998000000,13.8,13.482694194458347,13.489438913915304,14.307779286228746,291.225,-92.4074,3.9727,11.5747,0.0,-96.3801,9879.8443,SL Hit,0
BNBUSDT,P39_CAND_0551:BB Expansion Long,Long,1586196000000,1586217600000,14.8,15.268928094695767,14.50331220792301,15.276566377884707,152.614,71.565,2.2945,5.2863,0.0,69.2705,9949.1149,TP Hit,6
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1586293200000,1586311200000,14.3,14.803307936014074,14.795909981023563,13.680513915245054,213.084,-107.2469,3.1007,8.3951,0.0,-110.3476,9838.7673,SL Hit,5
BNBUSDT,P39_CAND_0551:ATR Expansion Long,Long,1586775600000,1586782800000,14.6,14.093754391250098,14.10080479364692,15.32379280952962,201.121,-101.8166,2.8855,3.027,0.0,-104.7021,9734.0652,SL Hit,2
BNBUSDT,P39_CAND_0551:ATR Expansion Short,Short,1586786400000,1586790000000,14.1,14.664259175397921,14.6569307100429,13.277103934935651,176.364,-99.515,2.5365,1.6452,0.0,-102.0515,9632.0137,SL Hit,1
BNBUSDT,P39_CAND_0551:Funding Reversal Long,Long,1588525200000,1588554000000,17.0,16.62972997960569,16.638049004107742,17.35795099589226,267.592,-99.0813,4.4995,3.0289,-5.4643,-98.1165,9533.8971,SL Hit,8
BNBUSDT,P39_CAND_0551:Funding Reversal Long,Long,1588582800000,1588608000000,16.6,17.01314615295786,16.130343018551418,17.021656981448583,213.929,88.3839,3.5954,6.7411,0.0,84.7885,9618.6857,TP Hit,7
BNBUSDT,P39_CAND_0551:Funding Reversal Long,Long,1589101200000,1589126400000,15.4,14.656756597170158,14.664088641490903,16.117911358509097,132.323,-98.3482,1.9886,3.2197,-1.2199,-99.1169,9519.5687,SL Hit,7
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1589191200000,1589191200000,14.6,15.082470721087763,15.074933254460532,13.883037146582595,190.798,-92.0544,2.8317,7.5437,0.0,-94.8861,9424.6826,SL Hit,0
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1589220000000,1589252400000,14.6,15.18921600294417,15.181625190348996,13.768298346737504,79.651,-46.9316,1.1864,1.879,0.3527,-48.4708,9376.2119,SL Hit,9
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1591117200000,1591185600000,17.1,17.62715026039614,17.618341089851214,16.480415152984424,98.419,-51.8816,1.7089,4.9022,0.0,-53.5905,9322.6213,SL Hit,19
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1591894800000,1591894800000,15.9,16.23788421045461,16.229769325791715,15.5088759364004,154.466,-52.1916,2.4821,3.7249,0.0,-54.6737,9267.9476,SL Hit,0
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1593291600000,1593291600000,15.0,15.31725562557212,15.30960082515954,14.64405440950064,83.165,-26.3846,1.2607,3.2147,0.0,-27.6452,9240.3024,SL Hit,0
BNBUSDT,P39_CAND_0551:Funding Reversal Short,Short,1594112400000,1594126800000,16.4,16.664121441904683,16.655793545132116,16.070206454867883,315.591,-83.3543,5.2174,14.6207,0.0,-88.5717,9151.7307,SL Hit,4
BNBUSDT,P39_CAND_0551:BB Expansion Long,Long,1594130400000,1594152000000,16.9,16.515551108201056,16.52381301470841,17.28392636846054,287.621,-110.5756,4.8055,19.0583,4.2805,-119.6616,9032.069,SL Hit,6
BNBUSDT,P39_CAND_0551:Funding Reversal Short,Short,1594155600000,1594195200000,16.7,17.115435081404744,17.106881640584454,16.331118359415548,232.856,-96.7366,3.9371,5.2517,-3.0945,-97.5791,8934.49,SL Hit,11
BNBUSDT,P39_CAND_0551:ATR Expansion Long,Long,1596391200000,1596452400000,20.9,22.241966594878996,19.971271239033523,22.253093141449718,97.888,131.3624,2.1115,2.6554,0.0,129.2509,9063.7409,TP Hit,17
BNBUSDT,P39_CAND_0551:BB Expansion Long,Long,1596456000000,1596488400000,22.5,21.774829157939955,21.78572201894943,23.34394164034801,138.955,-100.7661,3.0761,9.573,1.5334,-105.3757,8958.3652,SL Hit,9
BNBUSDT,P39_CAND_0551:BB Expansion Short,Short,1596830400000,1596888000000,21.8,22.54659801009358,22.53533034492112,20.859930076498443,31.933,-23.8411,0.7081,1.3178,1.9606,-26.5098,8931.8554,SL Hit,16
