asset,strategy,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,gross_pnl,fees,slippage,funding,net_pnl,capital_after,reason,hold_candles
BTCUSDT,P39_CAND_0551:BB Expansion Short,Short,1579438800000,1579780800000,8641.4,8404.925338484236,8822.16801728271,8400.724975996238,0.567,134.0811,4.8326,4.8481,-11.5982,140.8467,10140.8467,TP Hit,95
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1579881600000,1579910400000,8505.0,8379.074021095446,8643.533422193455,8374.886577806543,0.755,95.0741,6.3737,6.3401,-3.3437,92.044,10232.8907,TP Hit,8
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1580202000000,1580220000000,9000.2,9161.48001629687,9156.901565514114,8852.638434485887,0.673,-108.5415,6.1114,6.1434,0.0,-114.6529,10118.2379,SL Hit,5
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1580288400000,1580342400000,9390.3,9233.949198486407,9560.665468779203,9229.334531220797,0.611,95.5303,5.6897,5.6913,-7.4859,97.3265,10215.5643,TP Hit,15
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1580418000000,1580446800000,9579.8,9414.029637039175,9760.5350254481,9409.3249745519,0.582,96.4784,5.5272,5.5201,-2.9688,93.92,10309.4843,TP Hit,8
BTCUSDT,P39_CAND_0551:BB Expansion Long,Long,1580929200000,1580947200000,9700.8,9559.46513313769,9564.247256766072,9842.391936926586,0.782,-110.5239,7.5308,7.4932,12.3519,-130.4065,10179.0778,SL Hit,5
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1580979600000,1580990400000,9647.6,9799.8684597009,9794.970974213793,9509.809025786206,0.714,-108.7197,6.9427,6.9097,0.0,-115.6624,10063.4154,SL Hit,3
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1581012000000,1581206400000,9776.7,9961.947337753887,9956.968853327224,9606.291146672775,0.574,-106.332,5.665,5.6875,-18.0404,-93.9565,9969.4589,SL Hit,54
BTCUSDT,P39_CAND_0551:BB Expansion Short,Short,1583686800000,1583708400000,8282.2,8059.64991712362,8451.87208362918,8055.622106070585,0.601,133.7526,4.9107,4.9389,0.0,128.8419,10098.3007,TP Hit,6
BTCUSDT,P39_CAND_0551:BB Expansion Short,Short,1584003600000,1584007200000,7379.2,7087.874364285765,7598.144017305597,7084.332198186672,0.47,136.923,3.3998,3.3803,0.0,133.5233,10231.824,TP Hit,1
BTCUSDT,P39_CAND_0551:Funding Reversal Long,Long,1584126000000,1584306000000,4968.9,5877.398227162747,4052.4216036390726,5880.338396360928,0.112,101.7518,0.6074,0.6104,-2.1665,103.3109,10335.135,TP Hit,50
BTCUSDT,P39_CAND_0551:BB Expansion Short,Short,1584356400000,1584360000000,4428.9,4782.906013131423,4780.515755253796,4044.9502719402276,0.297,-105.1398,1.368,1.3782,0.0,-106.5077,10228.6272,SL Hit,1
BTCUSDT,P39_CAND_0551:BB Expansion Long,Long,1585850400000,1585850400000,7085.6,6876.81108320958,6880.2512088139865,7363.257765536129,0.506,-105.6472,3.5325,3.5572,0.0,-109.1797,10119.4475,SL Hit,0
BTCUSDT,P39_CAND_0551:BB Expansion Long,Long,1587027600000,1587247200000,7043.1,7277.906029764426,6865.415501720473,7281.546803166009,0.581,136.4223,4.1603,4.1488,-1.2946,133.5567,10253.0042,TP Hit,61
BTCUSDT,P39_CAND_0551:BB Expansion Short,Short,1587412800000,1587488400000,6763.3,6916.714835724877,6913.258206621566,6563.170824136713,0.7,-107.3904,4.788,4.8136,0.4023,-112.5806,10140.4236,SL Hit,21
BTCUSDT,P39_CAND_0551:BB Expansion Long,Long,1587657600000,1587945600000,7531.9,7759.293641439441,7358.914635081144,7763.175229053967,0.599,136.2088,4.5797,4.5713,4.8579,126.7712,10267.1948,TP Hit,80
BTCUSDT,P39_CAND_0551:BB Expansion Long,Long,1588161600000,1588165200000,8128.9,8280.355327381973,8009.920945157558,8284.497576170057,0.893,135.2496,7.3267,7.3157,0.0,127.9229,10395.1176,TP Hit,1
BTCUSDT,P39_CAND_0551:BB Expansion Long,Long,1588194000000,1588215600000,8925.4,9268.842908578174,8667.04265315029,9273.479648402374,0.409,140.4681,3.7207,3.7369,0.4745,136.2729,10531.3905,TP Hit,6
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1588237200000,1588237200000,9116.3,8751.188937433835,9496.204470330998,8746.815529669002,0.281,102.5962,2.5104,2.5187,0.0,100.0858,10631.4764,TP Hit,0
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1588784400000,1588806000000,9268.1,9077.140859988927,9472.915442289928,9072.604557710072,0.531,101.3993,4.8707,4.8832,0.0,96.5286,10728.005,TP Hit,6
BTCUSDT,P39_CAND_0551:BB Expansion Long,Long,1588874400000,1589007600000,9844.5,9603.148074448218,9607.952050473454,10161.381041009094,0.463,-111.7459,4.5021,4.4837,5.8359,-122.084,10605.921,SL Hit,37
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1591088400000,1591106400000,10112.5,9946.604030367478,10293.4667862394,9941.633213760599,0.603,100.0353,6.0478,6.0667,0.0,93.9874,10699.9085,TP Hit,5
BTCUSDT,P39_CAND_0551:ATR Expansion Short,Short,1591110000000,1591282800000,9579.7,9849.088306630898,9844.16622351914,9194.92566472129,0.412,-110.988,4.0023,3.9931,-2.2564,-112.7339,10587.1746,SL Hit,48
BTCUSDT,P39_CAND_0551:BB Expansion Short,Short,1591894800000,1591894800000,9086.7,9276.409101482337,9271.7732148749,8820.838868229306,0.561,-106.4268,5.1509,5.1701,0.0,-111.5777,10475.5969,SL Hit,0
BTCUSDT,P39_CAND_0551:Low-Activity Filler Short,Short,1592254800000,1592650800000,9464.3,9172.494587035337,9641.459639017441,9167.910631719478,0.608,177.4177,5.6656,5.6568,-2.7599,174.512,10650.1089,TP Hit,110
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1595782800000,1595811600000,9901.7,10076.821428694795,10071.785535926832,9741.594464073169,0.645,-112.9533,6.4431,6.4732,-3.0221,-116.3743,10533.7346,SL Hit,8
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1595840400000,1595854800000,10177.9,10388.91671491906,10383.724852492815,9982.175147507187,0.525,-110.7838,5.3988,5.377,0.0,-116.1826,10417.552,SL Hit,4
BTCUSDT,P39_CAND_0551:BB Expansion Long,Long,1595869200000,1595883600000,10732.1,10997.518872831084,10477.821655279666,11003.020383022595,0.419,111.2105,4.5524,4.5677,0.0,106.6582,10524.2102,TP Hit,4
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1595948400000,1596258000000,11179.1,11580.112144610146,11574.324982119088,10795.015017880913,0.27,-108.2733,3.0725,3.0691,-22.3192,-89.0265,10435.1836,SL Hit,86
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1596279600000,1596308400000,11632.1,11879.882165743215,11873.945193146641,11401.93480685336,0.221,-54.7599,2.5981,2.6027,-0.7921,-56.5659,10378.6178,SL Hit,8
BTCUSDT,P39_CAND_0551:Funding Reversal Short,Short,1596477600000,1596488400000,11424.3,11219.25623737044,11646.350587335892,11213.649412664108,0.24,49.2105,2.7172,2.716,0.0,46.4933,10425.111,TP Hit,3
BTCUSDT,P39_CAND_0551:BB Expansion Short,Short,1597179600000,1597215600000,11213.4,11458.059031036355,11452.332864604054,10894.926576938815,0.223,-54.559,2.5279,2.5235,-0.2541,-56.8328,10368.2783,SL Hit,10
