asset,strategy,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,gross_pnl,fees,slippage,funding,net_pnl,capital_after,reason,hold_candles
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1579010400000,1579017600000,154.2,157.84324635056265,151.34801063291135,157.92220745428978,36.337,132.3846,5.6694,5.4128,0.5671,126.1481,10126.1481,TP Hit,2
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1579251600000,1579269600000,171.9,166.60914618081762,166.6924924270311,178.89376051801236,19.826,-104.8965,3.3556,4.2298,0.0,-108.2521,10017.896,SL Hit,5
ETHUSDT,P39_CAND_0551:BB Expansion Short,Short,1579438800000,1579676400000,165.5,171.00090521060667,170.91544748686326,158.0024340460232,18.533,-101.9483,3.1182,2.3251,-7.3081,-97.7584,9920.1377,SL Hit,66
ETHUSDT,P39_CAND_0551:Funding Reversal Short,Short,1580295600000,1580338800000,177.9,174.45623581964452,181.63094870600247,174.36905129399753,27.321,94.0871,4.8134,5.1141,-5.0844,94.3581,10014.4958,TP Hit,12
ETHUSDT,P39_CAND_0551:Funding Reversal Short,Short,1580407200000,1580414400000,179.7,184.051910792555,183.95993082714142,175.66006917285858,24.132,-105.0203,4.389,4.8742,0.0,-109.4093,9905.0864,SL Hit,2
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1580418000000,1580464800000,185.1,180.94022070175131,181.0307360697862,189.34695992245977,25.145,-104.5977,4.602,5.5449,9.9091,-119.1088,9785.9777,SL Hit,13
ETHUSDT,P39_CAND_0551:ATR Expansion Short,Short,1580475600000,1580508000000,178.1,182.74103349391422,182.64970863959442,171.60043704060834,22.142,-102.7618,3.9949,4.9006,-3.7403,-103.0164,9682.9613,SL Hit,9
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1580644800000,1580688000000,191.9,188.0511715361745,188.14524415825363,196.89993866909217,26.422,-101.6937,5.0195,4.5993,1.0075,-107.7208,9575.2406,SL Hit,12
ETHUSDT,P39_CAND_0551:BB Expansion Long,Long,1580911200000,1580925600000,198.0,202.7465981016548,194.25142407884798,202.84802211271113,13.304,63.1487,2.6658,3.2119,2.5313,57.9517,9633.1922,TP Hit,4
ETHUSDT,P39_CAND_0551:Funding Reversal Short,Short,1580932800000,1580936400000,202.2,206.88820242420152,206.78481001919195,197.85518998080803,21.576,-101.1527,4.4132,4.8199,0.0,-105.5659,9527.6263,SL Hit,1
ETHUSDT,P39_CAND_0551:Funding Reversal Short,Short,1580979600000,1580990400000,209.4,215.01065278444506,214.90320118385316,204.07679881614686,17.601,-98.7531,3.735,3.6514,0.0,-102.4881,9425.1382,SL Hit,3
