asset,strategy,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,gross_pnl,fees,slippage,funding,net_pnl,capital_after,reason,hold_candles
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1601632800000,1601647200000,2.5,2.62660316679722,2.625290521536452,2.3656409423104834,920.043,-116.4804,2.3583,16.4804,0.0,-118.8387,9881.1613,SL Hit,4
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1601989200000,1602010800000,2.4,2.30215565791549,2.4834882881567686,2.3010051553378212,1293.544,126.566,3.0412,10.2843,-0.3152,123.84,10005.0013,TP Hit,6
SOLUSDT,P39_CAND_0551:ATR Expansion Long,Long,1602165600000,1602230400000,2.3,2.5140751556703234,2.1777781186124243,2.5153328220813638,740.991,158.6278,1.7836,11.8245,0.5344,156.3097,10161.311,TP Hit,18
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1602234000000,1602370800000,2.5,2.417036905838526,2.4182460288529524,2.6892749599264545,895.633,-74.3045,2.2019,29.2058,1.7654,-78.2718,10083.0392,SL Hit,38
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1602536400000,1602540000000,2.7,2.601409529768771,2.6027108852113763,2.8047848816508663,1192.002,-117.52,3.1596,16.0936,0.0,-120.6797,9962.3595,SL Hit,1
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1602612000000,1602633600000,2.3,2.446350494913381,2.4451279309479075,2.2133389847945732,1026.752,-150.2657,2.4367,50.5394,-0.4346,-152.2678,9810.0918,SL Hit,6
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1602691200000,1602820800000,2.3,2.152493086821696,2.3452314877445066,2.1514173781326296,1209.16,178.3595,2.6919,44.7095,-1.3849,177.0525,9987.1443,TP Hit,36
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1603184400000,1603191600000,2.0,1.8903109016708521,2.0220363226356683,1.8893662185615714,1798.309,197.2549,3.498,63.9203,0.0,193.7569,10180.9012,TP Hit,2
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1603317600000,1603339200000,1.9,1.9570126711823048,1.9560346538553772,1.7538518696453094,1202.923,-68.5819,2.3198,36.0612,-0.815,-70.0867,10110.8145,SL Hit,6
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1603368000000,1603400400000,2.1,1.9925868732301497,1.993583665062681,2.177806020746276,1311.112,-140.8306,2.6829,38.5425,0.269,-143.7826,9967.0319,SL Hit,9
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1603731600000,1603764000000,1.6,1.7126935474517395,1.7118376286374208,1.5493032935591375,1464.929,-165.088,2.4264,62.6344,-0.2458,-167.2687,9799.7632,SL Hit,9
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1603818000000,1603821600000,1.7,1.6813928244604195,1.682233941431135,1.8414917480123125,734.989,-13.6761,1.2426,35.5302,0.0,-14.9187,9784.8445,SL Hit,1
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1604660400000,1604685600000,1.7,1.858035516572978,1.6588172006677897,1.8589649990725141,583.941,92.2834,1.0388,25.2435,0.0991,91.1455,9875.99,TP Hit,7
SOLUSDT,P39_CAND_0551:ATR Expansion Short,Short,1604775600000,1604847600000,1.9,2.2216682887863395,2.220558009781449,1.451162985327827,320.901,-103.2237,0.6613,2.2175,-0.1291,-103.7559,9772.2341,SL Hit,20
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1604851200000,1604908800000,2.2,2.0280277428949045,2.0290422640269177,2.539207966629281,457.592,-78.6931,0.9674,21.9253,0.4577,-80.1182,9692.1159,SL Hit,16
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1605970800000,1605981600000,2.4,2.495199744785042,2.2581454624860124,2.4964479687694268,971.596,92.4957,2.3781,41.9226,0.2334,89.8842,9782.0001,TP Hit,3
SOLUSDT,P39_CAND_0551:Funding Reversal Short,Short,1605988800000,1605996000000,2.5,2.3101511139764446,2.59520338433139,2.3089966156686104,683.562,129.7735,1.644,31.6178,0.0,128.1295,9910.1296,TP Hit,2
SOLUSDT,P39_CAND_0551:ATR Expansion Long,Long,1606039200000,1606042800000,2.2,2.049500713224444,2.0505259762125503,2.5059610356811746,543.992,-81.8704,1.1558,18.5639,0.0,-83.0263,9827.1033,SL Hit,1
SOLUSDT,P39_CAND_0551:ATR Expansion Long,Long,1606064400000,1606204800000,2.2,2.474550435758857,2.038307780050787,2.4757883299238186,561.574,154.1804,1.3126,8.2764,-0.7031,153.5709,9980.6742,TP Hit,39
SOLUSDT,P39_CAND_0551:ATR Expansion Short,Short,1606212000000,1606312800000,2.3,2.461930457389426,2.460700107335758,1.9879498389963621,527.798,-85.4666,1.2567,15.3749,-0.9761,-85.7471,9894.9271,SL Hit,28
SOLUSDT,P39_CAND_0551:BB Expansion Long,Long,1606316400000,1606334400000,2.5,2.295154345113544,2.296302496361725,2.661796532830938,646.738,-132.4815,1.5506,33.7909,0.1563,-134.1883,9760.7388,SL Hit,5
SOLUSDT,P39_CAND_0551:Funding Reversal Long,Long,1606413600000,1606435200000,1.8,1.9203143314889024,1.585925031026611,1.921274968973389,582.123,70.0377,1.0828,28.5593,-1.0599,70.0148,9830.7535,TP Hit,6
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1607421600000,1607443200000,1.7,1.7293171909278726,1.7284529644456499,1.6031486604921528,1874.204,-54.9464,3.2136,46.7881,-0.3202,-57.8398,9772.9137,SL Hit,6
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1607504400000,1607511600000,1.6,1.6243072010784299,1.623495453351754,1.4570007592336751,701.116,-17.0422,1.1303,33.0308,0.0,-18.1725,9754.7412,SL Hit,2
SOLUSDT,P39_CAND_0551:BB Expansion Short,Short,1607598000000,1607630400000,1.6,1.6212387629027705,1.6204285486284564,1.4911214602382552,901.072,-19.1377,1.4513,30.916,-0.0778,-20.5111,9734.2301,SL Hit,9
