timestamp,event_type,symbol,details
1582646400000,SIGNAL_GENERATED,BNBUSDT,Side: Short | Close: 20.207
1582650000000,POSITION_OPENED,BNBUSDT,Side: Short | Size: 169.7390 | SL: 20.80 | TP: 19.39
1582675200000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000156 | Cost: $-0.5395
1582682400000,POSITION_CLOSED,BNBUSDT,Side: Short | Reason: TP Hit | Exit Price: 19.39844562285052 | PnL: $133.23
1582808400000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 19.26
1582812000000,POSITION_OPENED,BNBUSDT,Side: Long | Size: 144.4210 | SL: 18.56 | TP: 20.23
1582819200000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1582848000000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1582876800000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1582880400000,POSITION_CLOSED,BNBUSDT,Side: Long | Reason: SL Hit | Exit Price: 18.549075077513407 | PnL: $-111.18
1582880400000,SIGNAL_GENERATED,BNBUSDT,Side: Short | Close: 18.275
1582884000000,POSITION_OPENED,BNBUSDT,Side: Short | Size: 153.4190 | SL: 18.93 | TP: 17.37
1582894800000,POSITION_CLOSED,BNBUSDT,Side: Short | Reason: SL Hit | Exit Price: 18.93771320784912 | PnL: $-100.69
1583679600000,SIGNAL_GENERATED,BNBUSDT,Side: Short | Close: 18.383
1583683200000,POSITION_OPENED,BNBUSDT,Side: Short | Size: 181.4890 | SL: 18.93 | TP: 17.62
1583683200000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000502 | Cost: $-1.6753
1583683200000,POSITION_CLOSED,BNBUSDT,Side: Short | Reason: TP Hit | Exit Price: 17.632556958376107 | PnL: $137.69
1583762400000,SIGNAL_GENERATED,BNBUSDT,Side: Short | Close: 16.191
1583766000000,POSITION_OPENED,BNBUSDT,Side: Short | Size: 122.9930 | SL: 17.01 | TP: 15.06
1583769600000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $-0.0000
1583798400000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $-0.0000
1583827200000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $-0.0000
1583834400000,POSITION_CLOSED,BNBUSDT,Side: Short | Reason: SL Hit | Exit Price: 17.017357435007778 | PnL: $-102.57
1583834400000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 17.115
1583838000000,POSITION_OPENED,BNBUSDT,Side: Long | Size: 159.9210 | SL: 16.49 | TP: 17.98
1583852400000,POSITION_CLOSED,BNBUSDT,Side: Long | Reason: SL Hit | Exit Price: 16.484168154369133 | PnL: $-101.17
1584000000000,SIGNAL_GENERATED,BNBUSDT,Side: Short | Close: 14.449
1584003600000,POSITION_OPENED,BNBUSDT,Side: Short | Size: 157.1220 | SL: 15.08 | TP: 13.58
1584007200000,POSITION_CLOSED,BNBUSDT,Side: Short | Reason: TP Hit | Exit Price: 13.584624918832317 | PnL: $125.91
1584122400000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 9.428
1584126000000,POSITION_OPENED,BNBUSDT,Side: Long | Size: 48.2210 | SL: 7.36 | TP: 11.50
1584144000000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: -0.000039 | Cost: $-0.0204
1584172800000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: -0.000039 | Cost: $-0.0203
1584201600000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000617 | Cost: $0.3133
1584230400000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000316 | Cost: $0.1544
1584259200000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584288000000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584316800000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584345600000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584374400000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584403200000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584432000000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000061 | Cost: $0.0307
1584460800000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584489600000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584518400000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584547200000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584576000000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584604800000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584633600000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1584633600000,POSITION_CLOSED,BNBUSDT,Side: Long | Reason: TP Hit | Exit Price: 11.492156748653539 | PnL: $99.92
1584734400000,SIGNAL_GENERATED,BNBUSDT,Side: Short | Close: 11.121
1584738000000,POSITION_OPENED,BNBUSDT,Side: Short | Size: 106.3420 | SL: 12.07 | TP: 9.80
1584741600000,POSITION_CLOSED,BNBUSDT,Side: Short | Reason: SL Hit | Exit Price: 12.075028628753747 | PnL: $-104.92
1585994400000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 13.832
1585998000000,POSITION_OPENED,BNBUSDT,Side: Long | Size: 291.2250 | SL: 13.49 | TP: 14.31
1585998000000,POSITION_CLOSED,BNBUSDT,Side: Long | Reason: SL Hit | Exit Price: 13.482694194458347 | PnL: $-96.38
1586192400000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 14.827
1586196000000,POSITION_OPENED,BNBUSDT,Side: Long | Size: 152.6140 | SL: 14.50 | TP: 15.28
1586217600000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $0.0000
1586217600000,POSITION_CLOSED,BNBUSDT,Side: Long | Reason: TP Hit | Exit Price: 15.268928094695767 | PnL: $69.27
1586289600000,SIGNAL_GENERATED,BNBUSDT,Side: Short | Close: 14.329
1586293200000,POSITION_OPENED,BNBUSDT,Side: Short | Size: 213.0840 | SL: 14.80 | TP: 13.68
1586304000000,FUNDING_DEDUCTED,BNBUSDT,Funding Rate: 0.000000 | Cost: $-0.0000
1586311200000,POSITION_CLOSED,BNBUSDT,Side: Short | Reason: SL Hit | Exit Price: 14.803307936014074 | PnL: $-110.35
1586772000000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 14.59
1586775600000,POSITION_OPENED,BNBUSDT,Side: Long | Size: 201.1210 | SL: 14.10 | TP: 15.32
1586782800000,POSITION_CLOSED,BNBUSDT,Side: Long | Reason: SL Hit | Exit Price: 14.093754391250098 | PnL: $-104.70
1586782800000,SIGNAL_GENERATED,BNBUSDT,Side: Short | Close: 14.105
1586786400000,POSITION_OPENED,BNBUSDT,Side: Short | Size: 176.3640 | SL: 14.66 | TP: 13.28
1586790000000,POSITION_CLOSED,BNBUSDT,Side: Short | Reason: SL Hit | Exit Price: 14.664259175397921 | PnL: $-102.05
1586952000000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 14.985
1586955600000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 15.009
1586959200000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 15.055
1586962800000,SIGNAL_GENERATED,BNBUSDT,Side: Short | Close: 14.856
1587380400000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 15.602
1587387600000,SIGNAL_GENERATED,BNBUSDT,Side: Long | Close: 15.758
