timestamp,event_type,symbol,details
1579435200000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 8645.75
1579438800000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.5670 | SL: 8822.17 | TP: 8400.72
1579449600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000925 | Cost: $-4.5293
1579478400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000297 | Cost: $-1.4662
1579507200000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $-0.4915
1579536000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000108 | Cost: $-0.5307
1579564800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000121 | Cost: $-0.5913
1579593600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000154 | Cost: $-0.7556
1579622400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000157 | Cost: $-0.7720
1579651200000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $-0.4957
1579680000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $-0.4958
1579708800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $-0.4909
1579737600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $-0.4924
1579766400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $-0.4867
1579780800000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: TP Hit | Exit Price: 8404.925338484236 | PnL: $140.85
1579878000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 8509.21
1579881600000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.7550 | SL: 8643.53 | TP: 8374.89
1579881600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000421 | Cost: $-2.7062
1579910400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $-0.6374
1579910400000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: TP Hit | Exit Price: 8379.074021095446 | PnL: $92.04
1580198400000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 9004.77
1580202000000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.6730 | SL: 9156.90 | TP: 8852.64
1580220000000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: SL Hit | Exit Price: 9161.48001629687 | PnL: $-114.65
1580284800000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 9395.0
1580288400000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.6110 | SL: 9560.67 | TP: 9229.33
1580313600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.001082 | Cost: $-6.1432
1580342400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000236 | Cost: $-1.3426
1580342400000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: TP Hit | Exit Price: 9233.949198486407 | PnL: $97.33
1580414400000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 9584.93
1580418000000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.5820 | SL: 9760.54 | TP: 9409.32
1580428800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000536 | Cost: $-2.9688
1580446800000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: TP Hit | Exit Price: 9414.029637039175 | PnL: $93.92
1580925600000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 9696.0
1580929200000,POSITION_OPENED,BTCUSDT,Side: Long | Size: 0.7820 | SL: 9564.25 | TP: 9842.39
1580947200000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.001640 | Cost: $12.3519
1580947200000,POSITION_CLOSED,BTCUSDT,Side: Long | Reason: SL Hit | Exit Price: 9559.46513313769 | PnL: $-130.41
1580976000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 9652.39
1580979600000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.7140 | SL: 9794.97 | TP: 9509.81
1580990400000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: SL Hit | Exit Price: 9799.8684597009 | PnL: $-115.66
1581008400000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 9781.63
1581012000000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.5740 | SL: 9956.97 | TP: 9606.29
1581033600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000356 | Cost: $-1.9991
1581062400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000197 | Cost: $-1.1101
1581091200000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000197 | Cost: $-1.1108
1581120000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000399 | Cost: $-2.2502
1581148800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000629 | Cost: $-3.5283
1581177600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000993 | Cost: $-5.6083
1581206400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000428 | Cost: $-2.4335
1581206400000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: SL Hit | Exit Price: 9961.947337753887 | PnL: $-93.96
1581436800000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10268.52
1581440400000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 10297.86
1581444000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10256.33
1581447600000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10287.46
1581451200000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10260.83
1581454800000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10234.23
1581498000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10289.73
1581602400000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 10259.66
1581609600000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10177.6
1581620400000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 10263.91
1581624000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10240.05
1582099200000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10168.88
1582102800000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10124.07
1582106400000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10132.11
1582110000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10213.01
1582146000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 9617.01
1582732800000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 8747.94
1582736400000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 8742.35
1583683200000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 8286.0
1583686800000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.6010 | SL: 8451.87 | TP: 8055.62
1583708400000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: TP Hit | Exit Price: 8059.64991712362 | PnL: $128.84
1584000000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 7383.06
1584003600000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.4700 | SL: 7598.14 | TP: 7084.33
1584007200000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: TP Hit | Exit Price: 7087.874364285765 | PnL: $133.52
1584122400000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 4966.38
1584126000000,POSITION_OPENED,BTCUSDT,Side: Long | Size: 0.1120 | SL: 4052.42 | TP: 5880.34
1584144000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000764 | Cost: $-0.4767
1584172800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000764 | Cost: $-0.4707
1584201600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000503 | Cost: $-0.2992
1584230400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000479 | Cost: $-0.2772
1584259200000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000542 | Cost: $-0.3198
1584288000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000542 | Cost: $-0.3230
