timestamp,event_type,symbol,details
1579006800000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 154.1
1579010400000,POSITION_OPENED,ETHUSDT,Side: Long | Size: 36.3370 | SL: 151.35 | TP: 157.92
1579017600000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000100 | Cost: $0.5671
1579017600000,POSITION_CLOSED,ETHUSDT,Side: Long | Reason: TP Hit | Exit Price: 157.84324635056265 | PnL: $126.15
1579248000000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 171.8
1579251600000,POSITION_OPENED,ETHUSDT,Side: Long | Size: 19.8260 | SL: 166.69 | TP: 178.89
1579269600000,POSITION_CLOSED,ETHUSDT,Side: Long | Reason: SL Hit | Exit Price: 166.60914618081762 | PnL: $-108.25
1579435200000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 165.51
1579438800000,POSITION_OPENED,ETHUSDT,Side: Short | Size: 18.5330 | SL: 170.92 | TP: 158.00
1579449600000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000239 | Cost: $-0.7292
1579478400000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000475 | Cost: $-1.4706
1579507200000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000541 | Cost: $-1.6619
1579536000000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000386 | Cost: $-1.1934
1579564800000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000216 | Cost: $-0.6697
1579593600000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000168 | Cost: $-0.5198
1579622400000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000186 | Cost: $-0.5810
1579651200000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000153 | Cost: $-0.4825
1579676400000,POSITION_CLOSED,ETHUSDT,Side: Short | Reason: SL Hit | Exit Price: 171.00090521060667 | PnL: $-97.76
1580292000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 178.0
1580295600000,POSITION_OPENED,ETHUSDT,Side: Short | Size: 27.3210 | SL: 181.63 | TP: 174.37
1580313600000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.001061 | Cost: $-5.0844
1580338800000,POSITION_CLOSED,ETHUSDT,Side: Short | Reason: TP Hit | Exit Price: 174.45623581964452 | PnL: $94.36
1580403600000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 179.81
1580407200000,POSITION_OPENED,ETHUSDT,Side: Short | Size: 24.1320 | SL: 183.96 | TP: 175.66
1580414400000,POSITION_CLOSED,ETHUSDT,Side: Short | Reason: SL Hit | Exit Price: 184.051910792555 | PnL: $-109.41
1580414400000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 184.97
1580418000000,POSITION_OPENED,ETHUSDT,Side: Long | Size: 25.1450 | SL: 181.03 | TP: 189.35
1580428800000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000826 | Cost: $3.8452
1580457600000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.001320 | Cost: $6.0639
1580464800000,POSITION_CLOSED,ETHUSDT,Side: Long | Reason: SL Hit | Exit Price: 180.94022070175131 | PnL: $-119.11
1580472000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 178.23
1580475600000,POSITION_OPENED,ETHUSDT,Side: Short | Size: 22.1420 | SL: 182.65 | TP: 171.60
1580486400000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000937 | Cost: $-3.7403
1580508000000,POSITION_CLOSED,ETHUSDT,Side: Short | Reason: SL Hit | Exit Price: 182.74103349391422 | PnL: $-103.02
1580641200000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 191.81
1580644800000,POSITION_OPENED,ETHUSDT,Side: Long | Size: 26.4220 | SL: 188.15 | TP: 196.90
1580659200000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000100 | Cost: $0.5090
1580688000000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000100 | Cost: $0.4984
1580688000000,POSITION_CLOSED,ETHUSDT,Side: Long | Reason: SL Hit | Exit Price: 188.0511715361745 | PnL: $-107.72
1580907600000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 197.85
1580911200000,POSITION_OPENED,ETHUSDT,Side: Long | Size: 13.3040 | SL: 194.25 | TP: 202.85
1580918400000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000955 | Cost: $2.5313
1580925600000,POSITION_CLOSED,ETHUSDT,Side: Long | Reason: TP Hit | Exit Price: 202.7465981016548 | PnL: $57.95
1580929200000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 202.32
1580932800000,POSITION_OPENED,ETHUSDT,Side: Short | Size: 21.5760 | SL: 206.78 | TP: 197.86
1580936400000,POSITION_CLOSED,ETHUSDT,Side: Short | Reason: SL Hit | Exit Price: 206.88820242420152 | PnL: $-105.57
1580976000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 209.49
1580979600000,POSITION_OPENED,ETHUSDT,Side: Short | Size: 17.6010 | SL: 214.90 | TP: 204.08
1580990400000,POSITION_CLOSED,ETHUSDT,Side: Short | Reason: SL Hit | Exit Price: 215.01065278444506 | PnL: $-102.49
1580990400000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 215.18
1581008400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 213.4
1581012000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 213.17
1581015600000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 212.09
1581019200000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 213.64
1581022800000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 213.89
1581094800000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 221.12
1581098400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 222.41
1581102000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 221.6
1581235200000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 229.12
1581242400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 229.37
1581436800000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 232.54
1581440400000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 236.82
1581444000000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 237.55
1581447600000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 239.1
1581451200000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 238.49
1581454800000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 237.2
1581523200000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 262.53
1581526800000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 265.03
1581530400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 266.36
1581534000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 265.48
1581537600000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 274.43
1581541200000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 270.67
1581602400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 270.24
1581606000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 270.76
1581678000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 271.47
1581688800000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 272.53
1581692400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 273.28
1581696000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 278.33
1581699600000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 279.49
1581703200000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 285.14
1581706800000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 282.86
1581710400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 283.02
1581714000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 282.74
1581753600000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 283.4
1581757200000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 284.59
1581786000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 263.27
1581868800000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 246.75
1581872400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 250.89
1581955200000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 261.07
1581969600000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 258.65
1581973200000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 259.87
1582041600000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 280.97
1582045200000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 280.83
1582048800000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 280.94
1582052400000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 285.06
1582099200000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 283.26
1582146000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 262.71
1582286400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 266.01
1582300800000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 267.37
1582646400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 247.5
1582650000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 249.41
1582729200000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 226.66
1582732800000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 222.32
1582736400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 222.69
1582819200000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 236.63
1582880400000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 219.73
1583676000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 220.6
1583679600000,POSITION_OPENED,ETHUSDT,Side: Short | Size: 16.0710 | SL: 226.46 | TP: 212.45
1583679600000,POSITION_CLOSED,ETHUSDT,Side: Short | Reason: TP Hit | Exit Price: 212.5606925946161 | PnL: $124.11
1583766000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 194.82
1583769600000,POSITION_OPENED,ETHUSDT,Side: Short | Size: 9.4600 | SL: 204.91 | TP: 180.80
1583769600000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000162 | Cost: $-0.2983
1583798400000,FUNDING_DEDUCTED,ETHUSDT,Funding Rate: 0.000250 | Cost: $-0.4803
1583802000000,POSITION_CLOSED,ETHUSDT,Side: Short | Reason: SL Hit | Exit Price: 205.01692083515294 | PnL: $-98.71
1583946000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 184.5
1583949600000,POSITION_OPENED,ETHUSDT,Side: Short | Size: 15.3410 | SL: 190.66 | TP: 175.94
1583949600000,POSITION_CLOSED,ETHUSDT,Side: Short | Reason: SL Hit | Exit Price: 190.75569701214118 | PnL: $-100.38
1584000000000,SIGNAL_GENERATED,ETHUSDT,Side: Short | Close: 169.73
1584003600000,POSITION_OPENED,ETHUSDT,Side: Short | Size: 10.8870 | SL: 178.32 | TP: 157.80
1584007200000,POSITION_CLOSED,ETHUSDT,Side: Short | Reason: TP Hit | Exit Price: 157.88056403661622 | PnL: $125.81
1585846800000,SIGNAL_GENERATED,ETHUSDT,Side: Long | Close: 145.48
1585850400000,POSITION_OPENED,ETHUSDT,Side: Long | Size: 24.3160 | SL: 141.58 | TP: 150.89
1585850400000,POSITION_CLOSED,ETHUSDT,Side: Long | Reason: SL Hit | Exit Price: 141.51227609059296 | PnL: $-100.45
