timestamp,event_type,symbol,details
1601629200000,SIGNAL_GENERATED,SOLUSDT,Side: Short | Close: 2.5166
1601632800000,POSITION_OPENED,SOLUSDT,Side: Short | Size: 920.0430 | SL: 2.63 | TP: 2.37
1601647200000,POSITION_CLOSED,SOLUSDT,Side: Short | Reason: SL Hit | Exit Price: 2.62660316679722 | PnL: $-118.84
1601985600000,SIGNAL_GENERATED,SOLUSDT,Side: Short | Close: 2.4071
1601989200000,POSITION_OPENED,SOLUSDT,Side: Short | Size: 1293.5440 | SL: 2.48 | TP: 2.30
1602000000000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $-0.3152
1602010800000,POSITION_CLOSED,SOLUSDT,Side: Short | Reason: TP Hit | Exit Price: 2.30215565791549 | PnL: $123.84
1602162000000,SIGNAL_GENERATED,SOLUSDT,Side: Long | Close: 2.3128
1602165600000,POSITION_OPENED,SOLUSDT,Side: Long | Size: 740.9910 | SL: 2.18 | TP: 2.52
1602172800000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $0.1801
1602201600000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $0.1757
1602230400000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $0.1786
1602230400000,POSITION_CLOSED,SOLUSDT,Side: Long | Reason: TP Hit | Exit Price: 2.5140751556703234 | PnL: $156.31
1602230400000,SIGNAL_GENERATED,SOLUSDT,Side: Long | Close: 2.5317
1602234000000,POSITION_OPENED,SOLUSDT,Side: Long | Size: 895.6330 | SL: 2.42 | TP: 2.69
1602259200000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $0.2325
1602288000000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $0.2271
1602316800000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000289 | Cost: $0.6567
1602345600000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000289 | Cost: $0.6491
1602370800000,POSITION_CLOSED,SOLUSDT,Side: Long | Reason: SL Hit | Exit Price: 2.417036905838526 | PnL: $-78.27
1602532800000,SIGNAL_GENERATED,SOLUSDT,Side: Long | Close: 2.6873
1602536400000,POSITION_OPENED,SOLUSDT,Side: Long | Size: 1192.0020 | SL: 2.60 | TP: 2.80
1602540000000,POSITION_CLOSED,SOLUSDT,Side: Long | Reason: SL Hit | Exit Price: 2.601409529768771 | PnL: $-120.68
1602608400000,SIGNAL_GENERATED,SOLUSDT,Side: Short | Close: 2.3481
1602612000000,POSITION_OPENED,SOLUSDT,Side: Short | Size: 1026.7520 | SL: 2.45 | TP: 2.21
1602633600000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000176 | Cost: $-0.4346
1602633600000,POSITION_CLOSED,SOLUSDT,Side: Short | Reason: SL Hit | Exit Price: 2.446350494913381 | PnL: $-152.27
1602687600000,SIGNAL_GENERATED,SOLUSDT,Side: Short | Close: 2.2641
1602691200000,POSITION_OPENED,SOLUSDT,Side: Short | Size: 1209.1600 | SL: 2.35 | TP: 2.15
1602691200000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $-0.2738
1602720000000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $-0.2793
1602748800000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $-0.2805
1602777600000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $-0.2772
1602806400000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $-0.2741
1602820800000,POSITION_CLOSED,SOLUSDT,Side: Short | Reason: TP Hit | Exit Price: 2.152493086821696 | PnL: $177.05
1603180800000,SIGNAL_GENERATED,SOLUSDT,Side: Short | Close: 1.9665
1603184400000,POSITION_OPENED,SOLUSDT,Side: Short | Size: 1798.3090 | SL: 2.02 | TP: 1.89
1603191600000,POSITION_CLOSED,SOLUSDT,Side: Short | Reason: TP Hit | Exit Price: 1.8903109016708521 | PnL: $193.76
1603314000000,SIGNAL_GENERATED,SOLUSDT,Side: Short | Close: 1.8714
1603317600000,POSITION_OPENED,SOLUSDT,Side: Short | Size: 1202.9230 | SL: 1.96 | TP: 1.75
1603324800000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000358 | Cost: $-0.8150
1603339200000,POSITION_CLOSED,SOLUSDT,Side: Short | Reason: SL Hit | Exit Price: 1.9570126711823048 | PnL: $-70.09
1603364400000,SIGNAL_GENERATED,SOLUSDT,Side: Long | Close: 2.0707
1603368000000,POSITION_OPENED,SOLUSDT,Side: Long | Size: 1311.1120 | SL: 1.99 | TP: 2.18
1603382400000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $0.2690
1603400400000,POSITION_CLOSED,SOLUSDT,Side: Long | Reason: SL Hit | Exit Price: 1.9925868732301497 | PnL: $-143.78
1603728000000,SIGNAL_GENERATED,SOLUSDT,Side: Short | Close: 1.6438
1603731600000,POSITION_OPENED,SOLUSDT,Side: Short | Size: 1464.9290 | SL: 1.71 | TP: 1.55
1603756800000,FUNDING_DEDUCTED,SOLUSDT,Funding Rate: 0.000100 | Cost: $-0.2458
1603764000000,POSITION_CLOSED,SOLUSDT,Side: Short | Reason: SL Hit | Exit Price: 1.7126935474517395 | PnL: $-167.27
1603814400000,SIGNAL_GENERATED,SOLUSDT,Side: Long | Close: 1.7489
1603818000000,POSITION_OPENED,SOLUSDT,Side: Long | Size: 734.9890 | SL: 1.68 | TP: 1.84
