system,harness,scenario,net_pnl,profit_factor,max_dd_pct,trades,verdict
P43_CAND_0005,FIXED,normal,11599.38,1.5115,7.9437,333,PASS
P43_CAND_0005,FIXED,double fees,9457.4,1.4008,9.3928,333,PASS
P43_CAND_0005,FIXED,triple fees,7315.41,1.2984,11.6476,333,PASS
P43_CAND_0005,FIXED,double slippage,10528.39,1.455,8.5991,333,PASS
P43_CAND_0005,FIXED,triple slippage,9457.4,1.4008,9.3928,333,PASS
P43_CAND_0005,FIXED,double fees + double slippage,8386.41,1.3486,10.25,333,PASS
P43_CAND_0005,FIXED,delay 1 candle,10528.39,1.455,8.5991,333,PASS
P43_CAND_0005,FIXED,delay 2 candles,9457.4,1.4008,9.3928,333,PASS
P43_CAND_0005,FIXED,missed fills 10%,9976.58,1.4836,9.7921,300,PASS
P43_CAND_0005,FIXED,missed fills 20%,10139.56,1.5667,8.9947,267,PASS
P43_CAND_0005,FIXED,missed fills 30%,8433.22,1.5261,8.6543,234,PASS
P43_CAND_0005,FIXED,stale cancel,10238.09,1.4653,9.3713,317,PASS
P43_CAND_0005,FIXED,partial fill,10729.42,1.5115,7.6095,333,PASS
P43_CAND_0005,FIXED,high funding,10185.62,1.4384,9.0691,333,PASS
P43_CAND_0005,FIXED,combined adverse,6143.51,1.2757,12.3701,300,PASS
