candidate_id,stress_pass_count,combined_adverse_pnl,net_pnl,profit_factor,max_drawdown_pct,trades,negative_months,stress_verdict
P43_CAND_0202,15,6413.44,9080.27,1.6791,6.4071,222,18,STRONG
P43_CAND_0247,15,4411.19,8069.72,1.654,5.4819,210,19,STRONG
P43_CAND_0201,15,5269.22,9597.25,1.6321,6.3977,243,22,STRONG
P43_CAND_0291,15,4444.66,10219.2,1.5711,7.2444,280,20,STRONG
P43_CAND_0200,15,5607.06,8436.1,1.5573,6.0144,249,25,STRONG
P43_CAND_0165,15,6123.79,9305.6,1.557,8.8771,255,26,STRONG
P43_CAND_0160,15,6116.07,9293.4,1.5563,8.8705,255,26,STRONG
P43_CAND_0080,15,6410.67,9643.33,1.5504,8.8831,262,25,STRONG
P43_CAND_0168,15,5285.41,8103.02,1.5497,8.8901,236,25,STRONG
P43_CAND_0163,15,5282.96,8097.05,1.5496,8.8844,236,25,STRONG
P43_CAND_0045,15,4280.82,10121.17,1.5467,8.8751,278,26,PASS
P43_CAND_0287,15,6622.28,10354.93,1.5457,6.8386,295,21,STRONG
P43_CAND_0175,15,4908.93,8721.4,1.545,8.8833,247,23,STRONG
P43_CAND_0083,15,5788.92,8429.48,1.5439,8.8811,243,24,STRONG
P43_CAND_0085,15,6509.27,9447.96,1.5437,8.884,261,25,STRONG
P43_CAND_0005,15,6143.51,11599.38,1.5115,7.9437,333,24,STRONG
P43_CAND_0006,15,6142.15,11206.02,1.5049,7.9377,328,23,STRONG
P43_CAND_0000,15,4323.12,11431.41,1.4998,7.938,340,25,PASS
P43_CAND_0001,15,4502.79,11259.8,1.5005,7.9417,334,24,STRONG
P43_CAND_0003,15,7224.0,10441.08,1.5198,7.9367,310,23,STRONG
