rank,candidate_id,net_pnl,trades,profit_factor,max_drawdown_pct,negative_months,stress_pass_count,combined_adverse_pnl,improvements_count,status
1,P44_CAND_0000,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
2,P44_CAND_0001,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
3,P44_CAND_0002,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
4,P44_CAND_0003,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
5,P44_CAND_0004,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
6,P44_CAND_0005,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
7,P44_CAND_0006,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
8,P44_CAND_0007,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
9,P44_CAND_0008,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
10,P44_CAND_0009,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
11,P44_CAND_0010,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
12,P44_CAND_0011,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
13,P44_CAND_0012,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
14,P44_CAND_0013,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
15,P44_CAND_0014,11599.38,333,1.5115,7.9437,24,15,6143.51,1,PASS
16,P44_CAND_0184,8587.88,242,1.5772,6.0084,25,15,6175.28,5,PASS
17,P44_CAND_0185,8587.88,242,1.5772,6.0084,25,15,6175.28,5,PASS
18,P44_CAND_0188,7402.2,186,1.6596,6.2413,22,15,4728.69,5,PASS
19,P44_CAND_0189,7402.2,186,1.6596,6.2413,22,15,4728.69,5,PASS
20,P44_CAND_0187,7872.01,225,1.5655,6.2457,24,15,4376.22,4,PASS
21,P44_CAND_0200,6722.61,182,1.6203,6.2382,22,15,4249.01,5,PASS
22,P44_CAND_0201,6722.61,182,1.6203,6.2382,22,15,4249.01,5,PASS
23,P44_CAND_0205,6722.61,182,1.6203,6.2382,22,15,4249.01,5,PASS
24,P44_CAND_0203,6722.61,182,1.6203,6.2382,22,15,4249.01,5,PASS
25,P44_CAND_0204,6722.61,182,1.6203,6.2382,22,15,4249.01,5,PASS
26,P44_CAND_0202,6722.61,182,1.6203,6.2382,22,15,4249.01,5,PASS
27,P44_CAND_0206,6527.73,176,1.6219,6.2369,22,15,3775.28,5,PASS
28,P44_CAND_0207,6527.73,176,1.6219,6.2369,22,15,3775.28,5,PASS
29,P44_CAND_0191,6527.73,176,1.6219,6.2369,22,15,3775.28,5,PASS
30,P44_CAND_0190,6527.73,176,1.6219,6.2369,22,15,3775.28,5,PASS
