candidate_id,stress_pass_count,combined_adverse_pnl,net_pnl,profit_factor,max_drawdown_pct,trades,win_rate,positive_months,negative_months,score,improvements_count,stress_verdict
P44_CAND_0000,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0001,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0002,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0003,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0004,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0005,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0006,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0007,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0008,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0009,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0010,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0011,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0012,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0013,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0014,15,6143.51,11599.38,1.5115,7.9437,333,0.5676,47,24,0.70176675,1,PASS
P44_CAND_0184,15,6175.28,8587.88,1.5772,6.0084,242,0.5868,42,25,0.6507539999999999,5,PASS
P44_CAND_0185,15,6175.28,8587.88,1.5772,6.0084,242,0.5868,42,25,0.6507539999999999,5,PASS
P44_CAND_0190,15,3775.28,6527.73,1.6219,6.2369,176,0.5739,42,22,0.5985615,5,PASS
P44_CAND_0191,15,3775.28,6527.73,1.6219,6.2369,176,0.5739,42,22,0.5985615,5,PASS
P44_CAND_0207,15,3775.28,6527.73,1.6219,6.2369,176,0.5739,42,22,0.5985615,5,PASS
P44_CAND_0206,15,3775.28,6527.73,1.6219,6.2369,176,0.5739,42,22,0.5985615,5,PASS
P44_CAND_0201,15,4249.01,6722.61,1.6203,6.2382,182,0.5769,43,22,0.6046075,5,PASS
P44_CAND_0200,15,4249.01,6722.61,1.6203,6.2382,182,0.5769,43,22,0.6046075,5,PASS
P44_CAND_0204,15,4249.01,6722.61,1.6203,6.2382,182,0.5769,43,22,0.6046075,5,PASS
P44_CAND_0203,15,4249.01,6722.61,1.6203,6.2382,182,0.5769,43,22,0.6046075,5,PASS
P44_CAND_0205,15,4249.01,6722.61,1.6203,6.2382,182,0.5769,43,22,0.6046075,5,PASS
P44_CAND_0202,15,4249.01,6722.61,1.6203,6.2382,182,0.5769,43,22,0.6046075,5,PASS
P44_CAND_0189,15,4728.69,7402.2,1.6596,6.2413,186,0.586,43,22,0.629904,5,PASS
P44_CAND_0188,15,4728.69,7402.2,1.6596,6.2413,186,0.586,43,22,0.629904,5,PASS
P44_CAND_0187,15,4376.22,7872.01,1.5655,6.2457,225,0.5822,42,24,0.6256674999999999,4,PASS
