trade_idx,sleeve,session,side,net_pnl,entry_time,exit_time,hold_candles,expected_R,cost_to_risk,projected_net_R
0,BB Expansion Short,NEW_YORK,Short,140.84666230427692,1579438800000,1579780800000,95,1.331402687386683,0.11771358419656636,1.1237949551176065
1,Funding Reversal Short,NEW_YORK,Short,92.04404585337646,1579881600000,1579910400000,8,0.9392204432209859,0.11591049362126865,0.785696610610034
2,Funding Reversal Short,LONDON,Short,-114.6528562932766,1580202000000,1580220000000,5,0.9416725674053573,0.07820504321109839,0.8254689370768308
3,Funding Reversal Short,LONDON,Short,97.3264905295449,1580288400000,1580342400000,15,0.9448244995458324,0.11074326798440243,0.7635752884420641
4,Funding Reversal Short,NEW_YORK,Short,93.9199820960906,1580418000000,1580446800000,8,0.9432318114623097,0.07755061994481435,0.8099833235846219
5,BB Expansion Long,NEW_YORK,Long,-130.40649339198276,1580929200000,1580947200000,5,1.0369029107238537,0.2004782001058253,0.7805369259337958
6,Funding Reversal Short,LONDON,Short,-115.66242646655529,1580979600000,1580990400000,3,0.9349939833735488,0.09399728102367456,0.8033451303992146
7,Funding Reversal Short,NEW_YORK,Short,-93.9565428998979,1581012000000,1581206400000,54,0.945303917909218,0.16305025555498268,0.6612442392420008
8,BB Expansion Short,NEW_YORK,Short,128.84187390860913,1583686800000,1583708400000,6,1.3353869952148743,0.05805097769940519,1.2387963501243497
9,BB Expansion Short,LONDON,Short,133.52328631008305,1584003600000,1584007200000,1,1.3467725925653302,0.030967187985400654,1.2808849585538395
10,Funding Reversal Long,NEW_YORK,Long,103.31093567260103,1584126000000,1584306000000,50,0.9945006887014343,0.0036927641671095144,0.9615295800665279
11,BB Expansion Short,LONDON,Short,-106.50773909298267,1584356400000,1584360000000,1,1.0919582593295265,0.007809973647577525,1.0656620517619255
12,BB Expansion Long,NEW_YORK,Long,-109.17968190000477,1585850400000,1585850400000,0,1.3521275870799474,0.034525324054426265,1.2838957213597375
13,BB Expansion Long,LONDON,Long,133.55667241316777,1587027600000,1587247200000,61,1.3419673943131065,0.054048963542902194,1.24893991833565
14,BB Expansion Short,NEW_YORK,Short,-112.5806497359175,1587412800000,1587488400000,21,1.3345663459975348,0.06671128793949255,1.239264506083974
15,BB Expansion Long,NEW_YORK,Long,126.7712086246154,1587657600000,1587945600000,80,1.3369641366045906,0.08098317210408194,1.2017668542939361
16,BB Expansion Long,LONDON,Long,127.92287484842575,1588161600000,1588165200000,1,1.307772837631867,0.12306712883898054,1.1699597034336804
17,BB Expansion Long,NEW_YORK,Long,136.2729062281529,1588194000000,1588215600000,6,1.3472798534537447,0.030702320120326757,1.2722130560935325
18,Funding Reversal Short,LONDON,Short,100.08582638538265,1588237200000,1588237200000,0,0.9725720521505755,0.013237801000988317,0.9254624400474143
19,Funding Reversal Short,NEW_YORK,Short,96.52864189755272,1588784400000,1588806000000,6,0.954495618612552,0.04762286402502733,0.8648103756275665
20,BB Expansion Long,NEW_YORK,Long,-122.08401680122923,1588874400000,1589007600000,37,1.3396059515347103,0.06265856964773461,1.204274267630316
21,Funding Reversal Short,LONDON,Short,93.9874498232549,1591088400000,1591106400000,5,0.9441886535652055,0.06694318073968558,0.8331717700831399
22,ATR Expansion Short,NEW_YORK,Short,-112.7338801428468,1591110000000,1591282800000,48,1.4549091757680184,0.038764501103546976,1.3608205808564966
23,BB Expansion Short,NEW_YORK,Short,-111.57765803455649,1591894800000,1591894800000,0,1.436518687755027,0.05576692714131747,1.3371124005156019
24,Low-Activity Filler Short,NEW_YORK,Short,174.51199360455206,1592254800000,1592650800000,110,1.673007294010916,0.07948920273884147,1.542268473716769
25,Funding Reversal Short,NEW_YORK,Short,-116.3743333677284,1595782800000,1595811600000,8,0.9413236408045137,0.09370747024670223,0.7960407411972235
26,Funding Reversal Short,LONDON,Short,-116.18256472017285,1595840400000,1595854800000,4,0.9509291522492175,0.052354062354164774,0.8512071287174751
27,BB Expansion Long,NEW_YORK,Long,106.65815256236596,1595869200000,1595883600000,4,1.065448114823003,0.03586655377252635,0.9798477478241335
28,Funding Reversal Short,LONDON,Short,104.60398406989422,1596013200000,1596114000000,28,0.9592621562624749,0.06306016868385542,0.801216620713965
29,Funding Reversal Short,NEW_YORK,Short,-114.40181519587266,1596211200000,1596258000000,13,0.9408368273745001,0.0942884794519462,0.7762845072140355
30,Funding Reversal Short,LONDON,Short,-114.15554068909124,1596279600000,1596308400000,8,0.9517046427591462,0.05000793647795336,0.8395792246471432
31,Funding Reversal Short,NEW_YORK,Short,93.18027454973021,1596477600000,1596488400000,3,0.9486603474605683,0.04903913153069915,0.8467078910557884
32,BB Expansion Short,NEW_YORK,Short,-57.34248672417155,1597179600000,1597215600000,10,1.3328991957173448,0.022403828778975822,1.2333266233663411
33,Funding Reversal Short,NEW_YORK,Short,-119.04893442713328,1597676400000,1597676400000,0,0.9181233530964027,0.0696678818570982,0.7928214073102549
34,BB Expansion Short,NEW_YORK,Short,69.27242981341192,1599055200000,1599134400000,22,1.3237228449412675,0.043297278244911704,1.1545928517970812
35,BB Expansion Short,NEW_YORK,Short,134.77663801014188,1600704000000,1600891200000,52,1.316809477912558,0.09334462862373832,1.1662536252936253
36,BB Expansion Long,NEW_YORK,Long,133.97142463515786,1603292400000,1603317600000,7,1.3304935423678237,0.052002520839713066,1.2162022877750478
37,BB Expansion Short,NEW_YORK,Short,-117.47031752070879,1603897200000,1603980000000,23,1.3358905291685743,0.036834116509704376,1.2357978212617688
38,BB Expansion Long,NEW_YORK,Long,135.43377054763093,1604581200000,1604592000000,3,1.3311186337347556,0.036100621346698614,1.2282678606672381
39,BB Expansion Short,NEW_YORK,Short,-114.06353292899982,1604779200000,1604797200000,5,1.3474276397919462,0.018966195217339728,1.2736292148217527
40,BB Expansion Long,NEW_YORK,Long,134.8477398282765,1605632400000,1605672000000,11,1.3270247456959965,0.035202753025973796,1.216671287934323
41,Funding Reversal Short,LONDON,Short,100.96169804950773,1605693600000,1605711600000,5,0.9719001807740226,0.009363621598027486,0.91649413581528
42,Funding Reversal Short,LONDON,Short,-118.08504286191253,1605862800000,1605884400000,6,0.9526486314491768,0.023669287894931196,0.8636663461298866
43,Funding Reversal Short,NEW_YORK,Short,105.5191285727339,1605906000000,1606032000000,35,0.9539159766104484,0.04483745316876441,0.7847180401245449
44,Funding Reversal Short,LONDON,Short,97.79555013330975,1606129200000,1606136400000,2,0.9553544278452522,0.024926494820451114,0.8637129027700643
45,Funding Reversal Short,LONDON,Short,-107.64227044651854,1606212000000,1606309200000,27,0.9578728834685485,0.04485352720917025,0.7762796559010576
46,BB Expansion Short,LONDON,Short,-110.14796761517572,1606381200000,1606579200000,55,1.3738172593877551,0.010120039383016963,1.3054386149079107
47,BB Expansion Long,NEW_YORK,Long,-120.52422028188151,1606752000000,1606824000000,20,1.3363199852951388,0.02855131519773094,1.20885875673384
48,BB Expansion Short,NEW_YORK,Short,-55.73952226911965,1606831200000,1606834800000,1,1.3574535385684197,0.004015179575455215,1.3039178108956835
49,ATR Expansion Short,NEW_YORK,Short,-108.35741326740819,1606849200000,1607007600000,44,1.4698759858924597,0.00745267143128489,1.4116519903355464
50,BB Expansion Long,NEW_YORK,Long,134.46494216528492,1609596000000,1609603200000,2,1.3561510207834193,0.01394665265246991,1.2592992662523783
51,Funding Reversal Short,NEW_YORK,Short,99.20591318452026,1609617600000,1609617600000,0,0.9698149965171822,0.005832538857501315,0.9102992938896177
52,Funding Reversal Short,LONDON,Short,101.4714527160932,1609664400000,1609686000000,6,0.9782523261561669,0.0034322031842685197,0.9318712020444301
53,BB Expansion Long,NEW_YORK,Long,142.21072834851566,1609873200000,1609905600000,9,1.3616632689734112,0.004555956569223933,1.300096288308223
54,BB Expansion Long,NEW_YORK,Long,-114.42737293918549,1610042400000,1610042400000,0,1.3547075088144926,0.004447228657772513,1.2984134751718026
55,Funding Reversal Short,NEW_YORK,Short,108.09586819016775,1610046000000,1610071200000,7,0.9702451078714123,0.004415582160172966,0.8899617958682674
56,BB Expansion Long,LONDON,Long,-115.1186143521222,1610103600000,1610139600000,10,1.3709129794133859,0.0035735297016067573,1.3047365034577052
57,BB Expansion Short,NEW_YORK,Short,72.40983954552583,1610301600000,1610308800000,2,1.3593890895782577,0.0016804846087024802,1.3113752436153296
58,BB Expansion Long,NEW_YORK,Long,-112.50940361823181,1611342000000,1611399600000,16,1.3665618532733597,0.0035233247649996222,1.3182971304651456
59,BB Expansion Short,NEW_YORK,Short,-111.50845842504145,1611759600000,1611763200000,1,1.3614774783788923,0.0049854114735363815,1.3072882232317578
60,BB Expansion Long,NEW_YORK,Long,70.50852425644516,1611853200000,1611878400000,7,1.3560342375715813,0.0030246801713875895,1.2916793403080156
61,BB Expansion Long,LONDON,Long,113.69004807759936,1611910800000,1611910800000,0,1.1001416084730724,0.0027808771559007014,1.0560007012365533
62,Funding Reversal Short,LONDON,Short,107.58521044987809,1611921600000,1611943200000,6,0.9865584079232365,0.0028399348844104417,0.9273930978313523
