template,pnl,trades,win_rate,pf,dd,pos_m,neg_m,zero_m
trend_pullback,-8074.534668832707,1278,0.3974960876369327,0.8334071997144818,0.8418402893290209,28,50,0
trend_breakout,-9759.522820537455,2957,0.39837673317551575,0.8403422608297633,0.9778591638448464,21,57,0
breakout_retest,-8209.075623331324,760,0.36973684210526314,0.7257241036583181,0.8381478518679515,23,55,0
failed_breakout_reversal,-9799.978175013746,1982,0.3693239152371342,0.7701580677935073,0.9805934939820725,15,63,0
sweep_reversal,-6415.811142071843,962,0.4085239085239085,0.8748584376447981,0.6805495253708544,33,45,0
vwap_mean_reversion,-9797.779364267131,1250,0.2888,0.5680586785900908,0.9804762147484082,13,65,0
bollinger_mean_reversion,-9799.164793530901,1255,0.2900398406374502,0.5665049017008439,0.9806147576747862,13,65,0
bollinger_expansion_breakout,3198.028156416429,422,0.4431279620853081,1.1043045085904126,0.12479602614924665,37,33,8
atr_volatility_expansion,-2587.433718606253,177,0.3615819209039548,0.7622795553838885,0.27975873559754655,24,39,15
range_compression_breakout,-9632.531502865371,1807,0.38959601549529604,0.7646728732965742,0.9655400942627448,19,59,0
asia_range_breakout,-9790.922180734487,1982,0.37336024217961655,0.7359961402898381,0.9794780911292142,17,61,0
asia_range_failure,-9806.674697615224,1875,0.3664,0.7490238339116995,0.9817423478279327,19,59,0
london_continuation,-9918.7198167192,3041,0.38901677079907926,0.8685534657686074,0.993421110488124,21,57,0
new_york_reversal,-8741.560382621157,732,0.3292349726775956,0.6243242659058454,0.8800676526459518,18,60,0
funding_extreme_reversal,-1446.101367704152,224,0.3794642857142857,0.8939719470924561,0.240415091575071,17,12,49
funding_trend_continuation,-8526.03963747231,893,0.3538633818589026,0.7010809047411849,0.8572362787689998,13,42,23
rsi_exhaustion_reversal,-8150.891519295122,366,0.2540983606557377,0.44585150156080894,0.8206344094486422,21,54,3
wick_rejection_reversal,-9896.44370896306,1876,0.35181236673773986,0.6814789801780843,0.9896443708963084,9,69,0
volume_impulse_continuation,-9905.711323501819,2893,0.38990667127549256,0.8084744821924741,0.9920023719675309,21,57,0
swing_structure_continuation,-9759.522820537455,2957,0.39837673317551575,0.8403422608297633,0.9778591638448464,21,57,0
low_activity_filler,-1213.1147239368254,87,0.39080459770114945,0.7899293246101426,0.19164245504480187,24,27,27
mtf_breakout,0.0,0,0.0,0.0,0.0,0,0,78
